Authors,Title,Year,Source title,Link,Abstract
"Zhang S., Yao L., Sun A., Tay Y.","Deep learning based recommender system: A survey and new perspectives",2019,"ACM Computing Surveys","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062450758&doi=10.1145%2f3285029&partnerID=40&md5=c2c1fffe6540ec40178a1f8dd17b9676","With the growing volume of online information, recommender systems have been an effective strategy to overcome information overload. The utility of recommender systems cannot be overstated, given their widespread adoption in many web applications, along with their potential impact to ameliorate many problems related to over-choice. In recent years, deep learning has garnered considerable interest in many research fields such as computer vision and natural language processing, owing not only to stellar performance but also to the attractive property of learning feature representations from scratch. The influence of deep learning is also pervasive, recently demonstrating its effectiveness when applied to information retrieval and recommender systems research. The field of deep learning in recommender system is flourishing. This article aims to provide a comprehensive review of recent research efforts on deep learning-based recommender systems. More concretely, we provide and devise a taxonomy of deep learning-based recommendation models, along with a comprehensive summary of the state of the art. Finally, we expand on current trends and provide new perspectives pertaining to this new and exciting development of the field. © 2019 Association for Computing Machinery."
"Chouldechova A.","Fair Prediction with Disparate Impact: A Study of Bias in Recidivism Prediction Instruments",2017,"Big Data","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021102916&doi=10.1089%2fbig.2016.0047&partnerID=40&md5=1b979db8d74eaced7620bbdf004370dd","Recidivism prediction instruments (RPIs) provide decision-makers with an assessment of the likelihood that a criminal defendant will reoffend at a future point in time. Although such instruments are gaining increasing popularity across the country, their use is attracting tremendous controversy. Much of the controversy concerns potential discriminatory bias in the risk assessments that are produced. This article discusses several fairness criteria that have recently been applied to assess the fairness of RPIs. We demonstrate that the criteria cannot all be simultaneously satisfied when recidivism prevalence differs across groups. We then show how disparate impact can arise when an RPI fails to satisfy the criterion of error rate balance. © Copyright 2017, Mary Ann Liebert, Inc. 2017."
"Pan R., Zhou Y., Cao B., Liu N.N., Lukose R., Scholz M., Yang Q.","One-class collaborative filtering",2008,"Proceedings - IEEE International Conference on Data Mining, ICDM","https://www.scopus.com/inward/record.uri?eid=2-s2.0-67149083078&doi=10.1109%2fICDM.2008.16&partnerID=40&md5=771dca96e95aa63fbf5036dcae63b8b5","Many applications of collaborative filtering (CF), such as news item recommendation and bookmark rec- ommendation, are most naturally thought of as one- class collaborative filtering (OCCF) problems. In these problems, the training data usually consist simply of bi- nary data reflecting a user's action or inaction, such as page visitation in the case of news item recommenda- tion or webpage bookmarking in the bookmarking sce- nario. Usually this kind of data are extremely sparse (a small fraction are positive examples), therefore am- biguity arises in the interpretation of the non-positive examples. Negative examples and unlabeled positive ex- amples are mixed together and we are typically unable to distinguish them. For example, we cannot really at- tribute a user not bookmarking a page to a lack of inter- est or lack of awareness of the page. Previous research addressing this one-class problem only considered it as a classification task. In this paper, we consider the one- class problem under the CF setting. We propose two frameworks to tackle OCCF. One is based on weighted low rank approximation; the other is based on negative example sampling. The experimental results show that our approaches significantly outperform the baselines. © 2008 IEEE."
"He X., Zhang H., Kan M.-Y., Chua T.-S.","Fast matrix factorization for online recommendation with implicit feedback",2016,"SIGIR 2016 - Proceedings of the 39th International ACM SIGIR Conference on Research and Development in Information Retrieval","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84980329382&doi=10.1145%2f2911451.2911489&partnerID=40&md5=e793c5dfbaa1a992f22320a2db81d74c","This paper contributes improvements on both the effectiveness and efficiency of Matrix Factorization (MF) methods for implicit feedback. We highlight two critical issues of existing works. First, due to the large space of unobserved feedback, most existing works resort to assign a uniform weight to the missing data to reduce computational complexity. However, such a uniform assumption is invalid in real-world settings. Second, most methods are also designed in an offline setting and fail to keep up with the dynamic nature of online data. We address the above two issues in learning MF models from implicit feedback. We first propose to weight the missing data based on item popularity, which is more effective and flexible than the uniform-weight assumption. However, such a non-uniform weighting poses efficiency challenge in learning the model. To address this, we specifically design a new learning algorithm based on the element-wise Alternating Least Squares (eALS) technique, for efficiently optimizing a MF model with variably-weighted missing data. We exploit this efficiency to then seamlessly devise an incremental update strategy that instantly refreshes a MF model given new feedback. Through comprehensive experiments on two public datasets in both offline and online protocols, we show that our eALS method consistently outperforms state-of-the-art implicit MF methods. Our implementation is available at https://github.com/hexiangnan/sigir16-eals. © 2016 ACM."
"Kusner M., Loftus J., Russell C., Silva R.","Counterfactual fairness",2017,"Advances in Neural Information Processing Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047021969&partnerID=40&md5=6984f80c004f463f37791b8a6c397ab8","Machine learning can impact people with legal or ethical consequences when it is used to automate decisions in areas such as insurance, lending, hiring, and predictive policing. In many of these scenarios, previous decisions have been made that are unfairly biased against certain subpopulations, for example those of a particular race, gender, or sexual orientation. Since this past data may be biased, machine learning predictors must account for this to avoid perpetuating or creating discriminatory practices. In this paper, we develop a framework for modeling fairness using tools from causal inference. Our definition of counterfactual fairness captures the intuition that a decision is fair towards an individual if it the same in (a) the actual world and (b) a counterfactual world where the individual belonged to a different demographic group. We demonstrate our framework on a real-world problem of fair prediction of success in law school. © 2017 Neural information processing systems foundation. All rights reserved."
"Wu Y., DuBois C., Zheng A.X., Ester M.","Collaborative denoising auto-encoders for top-N recommender systems",2016,"WSDM 2016 - Proceedings of the 9th ACM International Conference on Web Search and Data Mining","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964403193&doi=10.1145%2f2835776.2835837&partnerID=40&md5=ce0953349a442c99d62efbe8d5870218","Most real-world recommender services measure their performance based on the top-N results shown to the end users. Thus, advances in top-N recommendation have far-ranging consequences in practical applications. In this paper, we present a novel method, called Collaborative Denoising Auto-Encoder (CDAE), for top-N recommendation that utilizes the idea of Denoising Auto-Encoders. We demonstrate that the proposed model is a generalization of several well-known collaborative filtering models but with more flexible components. Thorough experiments are conducted to understand the performance of CDAE under various component settings. Furthermore, experimental results on several public datasets demonstrate that CDAE consistently outperforms state-of-the-art top-N recommendation methods on a variety of common evaluation metrics. © 2015 Copyright held by the owner/author(s)."
"Ma H., King I., Lyu M.R.","Learning to recommend with social trust ensemble",2009,"Proceedings - 32nd Annual International ACM SIGIR Conference on Research and Development in Information Retrieval, SIGIR 2009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-72249094128&doi=10.1145%2f1571941.1571978&partnerID=40&md5=1506af24580e7d90dc1d3be81b013b11","As an indispensable technique in the field of Information Filtering, Recommender System has been well studied and developed both in academia and in industry recently. However, most of current recommender systems suffer the following problems: (1) The large-scale and sparse data of the user-item matrix seriously affect the recommendation quality. As a result, most of the recommender systems cannot easily deal with users who have made very few ratings. (2) The traditional recommender systems assume that all the users are independent and identically distributed; this assumption ignores the connections among users, which is not consistent with the real world recommendations. Aiming at modeling recommender systems more accurately and realistically, we propose a novel probabilistic factor analysis framework, which naturally fuses the users' tastes and their trusted friends' favors together. In this framework, we coin the term Social Trust Ensemble to represent the formulation of the social trust restrictions on the recommender systems. The complexity analysis indicates that our approach can be applied to very large datasets since it scales linearly with the number of observations, while the experimental results show that our method performs better than the state-of-the-art approaches. Copyright 2009 ACM."
"Friedman B., Nissenbaum H.","Bias in Computer Systems",1996,"ACM Transactions on Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030196306&doi=10.1145%2f230538.230561&partnerID=40&md5=7759e06c07c18aae348ee040f6b4cc15","From an analysis of actual cases, three categories of bias in computer systems have been developed: preexisting, technical, and emergent. Preexisting bias has its roots in social institutions, practices, and attitudes. Technical bias arises from technical constraints or considerations. Emergent bias arises in a context of use. Although others have pointed to bias in particular computer systems and have noted the general problem, we know of no comparable work that examines this phenomenon comprehensively and which offers a framework for understanding and remedying it. We conclude by suggesting that freedom from bias should be counted among the select set of criteria - including reliability, accuracy, and efficiency -according to which the quality of systems in use in society should be judged."
"Zafar M.B., Valera I., Rodriguez M.G., Gummadi K.P.","Fairness beyond disparate treatment & disparate impact: Learning classification without disparate mistreatment",2017,"26th International World Wide Web Conference, WWW 2017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048347682&doi=10.1145%2f3038912.3052660&partnerID=40&md5=e0ce633abceab72e3214b4c9965d03a8","Automated data-driven decision making systems are increasingly being used to assist, or even replace humans in many settings. These systems function by learning from historical decisions, often taken by humans. In order to maximize the utility of these systems (or, classifiers), their training involves minimizing the errors (or, misclassifications) over the given historical data. However, it is quite possible that the optimally trained classifier makes decisions for people belonging to different social groups with different misclassification rates (e.g., misclassification rates for females are higher than for males), thereby placing these groups at an unfair disadvantage. To account for and avoid such unfairness, in this paper, we introduce a new notion of unfairness, disparate mistreatment, which is defined in terms of misclassification rates. We then propose intuitive measures of disparate mistreatment for decision boundary-based classifiers, which can be easily incorporated into their formulation as convex-concave constraints. Experiments on synthetic as well as real world datasets show that our methodology is effective at avoiding disparate mistreatment, often at a small cost in terms of accuracy. © 2017 International World Wide Web Conference Committee (IW3C2)"
"Craswell N., Zoeter O., Taylor M., Ramsey B.","An experimental comparison of click position-bias models",2008,"WSDM'08 - Proceedings of the 2008 International Conference on Web Search and Data Mining","https://www.scopus.com/inward/record.uri?eid=2-s2.0-42549140738&doi=10.1145%2f1341531.1341545&partnerID=40&md5=7c68694d44b274257fd21b7ac741d35b","Search engine click logs provide an invaluable source of relevance information, but this information is biased. A key source of bias is presentation order: the probability of click is influenced by a document's position in the results page. This paper focuses on explaining that bias, modelling how probability of click depends on position. We propose four simple hypotheses about how position bias might arise. We carry out a large data-gathering effort, where we perturb the ranking of a major search engine, to see how clicks are affected. We then explore which of the four hypotheses best explains the real-world position effects, and compare these to a simple logistic regression model. The data are not well explained by simple position models, where some users click indiscriminately on rank 1 or there is a simple decay of attention over ranks. A ĝ€ cascade' model, where users view results from top to bottom and leave as soon as they see a worthwhile document, is our best explanation for position bias in early ranks. © 2008 ACM."
"Mehrabi N., Morstatter F., Saxena N., Lerman K., Galstyan A.","A survey on bias and fairness in machine learning",2019,"A survey on bias and fairness in machine learning",,[No abstract available]
"Zemel R., Wu Y., Swersky K., Pitassi T., Dwork C.","Learning fair representations",2013,"International Conference on Machine Learning",,[No abstract available]
"Vella F.","Estimating models with sample selection bias: A survey",1998,"Journal of Human Resources","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001703017&doi=10.2307%2f146317&partnerID=40&md5=3ca33a85609d6fa65f0211f01f4e62bb","This paper surveys the available methods for estimating models with sample selection bias. I initially examine the fully parameterized model proposed by Heckman (1979) before investigating departures in two directions. First, I consider the relaxation of distributional assumptions. In doing so I present the available semi-parametric procedures. Second, I investigate the ability to tackle different selection rules generating the selection bias. Finally, I discuss how the estimation procedures applied in the cross-sectional case can be extended to panel data."
"Zafar M.B., Valera I., Rodriguez M.G., Gummadi K.P.","Fairness constraints: Mechanisms for fair classification",2017,"Proceedings of the 20th International Conference on Artificial Intelligence and Statistics, AISTATS 2017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083938290&partnerID=40&md5=360b2b59ee31b327b6e813f39ab8a7a2","Algorithmic decision making systems are ubiquitous across a wide variety of online as well as offline services. These systems rely on complex learning methods and vast amounts of data to optimize the service functionality, satisfaction of the end user and profitability. However, there is a growing concern that these automated decisions can lead, even in the absence of intent, to a lack of fairness, i.e., their outcomes can disproportionately hurt (or, benefit) particular groups of people sharing one or more sensitive attributes (e.g., race, sex). In this paper, we introduce a flexible mechanism to design fair classifiers by leveraging a novel intuitive measure of decision boundary (un)fairness. We instantiate this mechanism with two well-known classifiers, logistic regression and support vector machines, and show on real-world data that our mechanism allows for a fine-grained control on the degree of fairness, often at a small cost in terms of accuracy. A Python implementation of our mechanism is available at fate-computing.mpi-sws.org Copyright 2017 by the author(s)."
"Blodgett S.L., Barocas S., Daumé H., Wallach H.","Language (Technology) is power: A critical survey of ⇜bias” in NLP",2020,"Proceedings of the Annual Meeting of the Association for Computational Linguistics","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115851015&partnerID=40&md5=25a07a7c117df0afd9f6f4bdef2e8edd","We survey 146 papers analyzing “bias” in NLP systems, fnding that their motivations are often vague, inconsistent, and lacking in normative reasoning, despite the fact that analyzing “bias” is an inherently normative process. We further fnd that these papers' proposed quantitative techniques for measuring or mitigating “bias” are poorly matched to their motivations and do not engage with the relevant literature outside of NLP. Based on these fndings, we describe the beginnings of a path forward by proposing three recommendations that should guide work analyzing “bias” in NLP systems. These recommendations rest on a greater recognition of the relationships between language and social hierarchies, encouraging researchers and practitioners to articulate their conceptualizations of “bias”-i.e., what kinds of system behaviors are harmful, in what ways, to whom, and why, as well as the normative reasoning underlying these statements-and to center work around the lived experiences of members of communities affected by NLP systems, while interrogating and reimagining the power relations between technologists and such communities. © 2020 Association for Computational Linguistics"
"Zheng G., Zhang F., Zheng Z., Xiang Y., Yuan N.J., Xie X., Li Z.","DRN: A deep reinforcement learning framework for news recommendation",2018,"The Web Conference 2018 - Proceedings of the World Wide Web Conference, WWW 2018","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085176840&doi=10.1145%2f3178876.3185994&partnerID=40&md5=213dc0701c169f77a602f1fa919e5eee","In this paper, we propose a novel Deep Reinforcement Learning framework for news recommendation. Online personalized news recommendation is a highly challenging problem due to the dynamic nature of news features and user preferences. Although some online recommendation models have been proposed to address the dynamic nature of news recommendation, these methods have three major issues. First, they only try to model current reward (e.g., Click Through Rate). Second, very few studies consider to use user feedback other than click / no click labels (e.g., how frequent user returns) to help improve recommendation. Third, these methods tend to keep recommending similar news to users, which may cause users to get bored. Therefore, to address the aforementioned challenges, we propose a Deep Q-Learning based recommendation framework, which can model future reward explicitly. We further consider user return pattern as a supplement to click / no click label in order to capture more user feedback information. In addition, an effective exploration strategy is incorporated to find new attractive news for users. Extensive experiments are conducted on the offline dataset and online production environment of a commercial news recommendation application and have shown the superior performance of our methods. © 2018 IW3C2 (International World Wide Web Conference Committee), published under Creative Commons CC BY 4.0 License."
"Wang J., Yu L., Zhang W., Gong Y., Xu Y., Wang B., Zhang P., Zhang D.","IRGAN: A minimax game for unifying generative and discriminative information retrieval models",2017,"SIGIR 2017 - Proceedings of the 40th International ACM SIGIR Conference on Research and Development in Information Retrieval","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029372592&doi=10.1145%2f3077136.3080786&partnerID=40&md5=c659c6d5de13eebaefdf9b25b0aad3d0","This paper provides a unified account of two schools of thinking in information retrieval modelling: The generative retrieval focusing on predicting relevant documents given a query, and the discriminative retrieval focusing on predicting relevancy given a querydocument pair. We propose a game theoretical minimax game to iteratively optimise both models. On one hand, the discriminative model, aiming to mine signals from labelled and unlabelled data, provides guidance to train the generative model towards fithing the underlying relevance distribution over documents given the query. On the other hand, the generative model, acting as an aftacker to the current discriminative model, generates difficult examples for the discriminative model in an adversarial way by minimising its discrimination objective. With the competition between these two models, we show that the unified framework takes advantage of both schools of thinking: (i) the generative model learns to fit the relevance distribution over documents via the signals from the discriminative model, and (ii) the discriminative model is able to exploit the unlabelled data selected by the generative model to achieve a beffer estimation for document ranking. Our experimental results have demonstrated significant performance gains as much as 23.96% on Precision@5 and 15.50% on MAP over strong baselines in a variety of applications including web search, item recommendation, and question answering. © 2017 Copyright held by the owner/author(s)."
"Datta A., Tschantz M.C., Datta A.","Automated experiments on ad privacy settings",2015,"Proceedings on Privacy Enhancing Technologies",,[No abstract available]
"Joachims T., Granka L., Pan B., Hembrooke H., Radlinski F., Gay G.","Evaluating the accuracy of implicit feedback from clicks and query reformulations in Web search",2007,"ACM Transactions on Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34247882698&doi=10.1145%2f1229179.1229181&partnerID=40&md5=daffc0932e92a3e1ed0574a91b4f6c9f","This article examines the reliability of implicit feedback generated from clickthrough data and query reformulations in World Wide Web (WWW) search. Analyzing the users' decision process using eyetracking and comparing implicit feedback against manual relevance judgments, we conclude that clicks are informative but biased. While this makes the interpretation of clicks as absolute relevance judgments difficult, we show that relative preferences derived from clicks are reasonably accurate on average. We find that such relative preferences are accurate not only between results from an individual query, but across multiple sets of results within chains of query reformulations. © 2007 ACM."
"Zhang Y., Chen X.","Explainable recommendation: A survey and new perspectives",2020,"Foundations and Trends in Information Retrieval","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082122478&doi=10.1561%2f1500000066&partnerID=40&md5=4c0476d20c3d6389f08dcbd34488a91c","Explainable recommendation attempts to develop models that generate not only high-quality recommendations but also intuitive explanations. The explanations may either be post-hoc or directly come from an explainable model (also called interpretable or transparent model in some contexts). Explainable recommendation tries to address the problem of why: by providing explanations to users or system designers, it helps humans to understand why certain items are recommended by the algorithm, where the human can either be users or system designers. Explainable recommendation helps to improve the transparency, persuasiveness, effectiveness, trustworthiness, and satisfaction of recommendation systems. It also facilitates system designers for better system debugging. In recent years, a large number of explainable recommendation approaches - especially model-based methods - have been proposed and applied in real-world systems. In this survey, we provide a comprehensive review for the explainable recommendation research. We first highlight the position of explainable recommendation in recommender system research by categorizing recommendation problems into the 5W, i.e., what, when, who, where, and why. We then conduct a comprehensive survey of explainable recommendation on three perspectives: 1) We provide a chronological research timeline of explainable recommendation, including user study approaches in the early years and more recent model-based approaches. 2) We provide a two-dimensional taxonomy to classify existing explainable recommendation research: one dimension is the information source (or display style) of the explanations, and the other dimension is the algorithmic mechanism to generate explainable recommendations. 3) We summarize how explainable recommendation applies to different recommendation tasks, such as product recommendation, social recommendation, and POI recommendation. We also devote a section to discuss the explanation perspectives in broader IR and AI/ML research. We end the survey by discussing potential future directions to promote the explainable recommendation research area and beyond. © 2019 Association for Computing Machinery. All rights reserved."
"Ntoutsi E., Fafalios P., Gadiraju U., Iosifidis V., Nejdl W., Vidal M.-E., Ruggieri S., Turini F., Papadopoulos S., Krasanakis E., Kompatsiaris I., Kinder-Kurlanda K., Wagner C., Karimi F., Fernandez M., Alani H., Berendt B., Kruegel T., Heinze C., Broelemann K., Kasneci G., Tiropanis T., Staab S.","Bias in data-driven artificial intelligence systems—An introductory survey",2020,"Wiley Interdisciplinary Reviews: Data Mining and Knowledge Discovery","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078894838&doi=10.1002%2fwidm.1356&partnerID=40&md5=f56beb887eea8a90beedb2f5aa428c10","Artificial Intelligence (AI)-based systems are widely employed nowadays to make decisions that have far-reaching impact on individuals and society. Their decisions might affect everyone, everywhere, and anytime, entailing concerns about potential human rights issues. Therefore, it is necessary to move beyond traditional AI algorithms optimized for predictive performance and embed ethical and legal principles in their design, training, and deployment to ensure social good while still benefiting from the huge potential of the AI technology. The goal of this survey is to provide a broad multidisciplinary overview of the area of bias in AI systems, focusing on technical challenges and solutions as well as to suggest new research directions towards approaches well-grounded in a legal frame. In this survey, we focus on data-driven AI, as a large part of AI is powered nowadays by (big) data and powerful machine learning algorithms. If otherwise not specified, we use the general term bias to describe problems related to the gathering or processing of data that might result in prejudiced decisions on the bases of demographic features such as race, sex, and so forth. This article is categorized under: Commercial, Legal, and Ethical Issues > Fairness in Data Mining Commercial, Legal, and Ethical Issues > Ethical Considerations Commercial, Legal, and Ethical Issues > Legal Issues. © 2020 The Authors. WIREs Data Mining and Knowledge Discovery published by Wiley Periodicals, Inc."
