Title,Link,Authors,Abstract,Venue,Year
Reimagining the Role of School Libraries in STEM Education: Creating Hybrid Spaces for Exploration,https://doi.org/10.1086/664578,"['Mega Subramaniam', 'June Ahn', 'Kenneth Fleischmann', 'Allison Druin']","In recent years, many technological interventions have surfaced, such as virtual worlds, games, and digital labs, that aspire to link young people’s interest in media technology and social networks to learning about science, technology, engineering, and math (STEM) areas. Despite the tremendous interest surrounding young people and STEM education, the role of school libraries in these initiatives is rarely examined. In this article, we outline a sociocultural approach to explore how school library programs can play a critical role in STEM education and articulate the need for research that examines the contributions of school libraries as potential hybrid spaces for STEM learning. We propose that school library programs become active participants in STEM learning through the specific roles that school librarians currently play in schools, such as information specialist, instructional partner, and technology ally. We also highlight how these roles can be tailored toward helping young people develop STEM identities.",The Library Quarterly,2012
"""The Place to Go"": The 135th Street Branch Library and the Harlem Renaissance",https://doi.org/10.1086/603439,missing,"In the early 1920s, the 135th Street Branch of the New York Public Library, under the leadership of Ernestine Rose, played a significant role in the Harlem Renaissance movement. By drawing on the resources of the community, the library staff facilitated connections between writers and their readers with literary gatherings; between artists and their viewers with art exhibitions; and between playwrights, performers, and their audiences with theatrical productions. But the library's most significant legacy was its book collection, now known as the Schomburg Center for Research in Black Culture, which has provided a permanent connection between a people and their history.",The Library Quarterly,2003
Mapping Intersections of Politics and Information in Twenty-First-Century Cyberculture,https://doi.org/10.1086/717231,"['Maurice Wheeler', 'Samuel Muwanguzi']","AbstractCurrent observation of social media suggests the fusion of politics and information is possibly more pronounced in recent history than ever before. The turbulent sociopolitical ecosystem, exemplified by the Black Lives Matter movement, the worldwide COVID-19 pandemic, and the 2020 US presidential election, has dominated recent print and electronic media and highlighted the malleable nature of information. Ubiquitous social networking sites such as Facebook, Twitter, Google, and others have become the vehicles through which consumers of political information are gaining a practical understanding of the inseparable nature of politics and information. As a major provider and facilitator of access to information, libraries have been drawn into the ideological confrontation between the traditional concepts of information, truth, and access. This article presents an interdisciplinary mapping of the intersections of politics and information and establishes a foundation for understanding ways in which that convergence affects the roles, engagement, and responsibilities of libraries.",The Library Quarterly,2022
"Roy Balleste, Sonia Luna‐Lamas, and Lisa Smith‐Butler, eds., Law Librarianship in the Twenty‐first Century",https://doi.org/10.1086/591210,['Robin Gault'],missing,The Library Quarterly,2008
Purposes and Bibliographic Objectives of a Pioneer Library Catalog in China,https://doi.org/10.1086/597081,"['Hur‐Li Lee', 'Wen‐Chin Lan']","This research aims to ascertain the conceptual basics underlying the design of the Seven Epitomes, the first library catalog to establish the bibliographic model in imperial China. The analytical framework for the study consists of a reconstructed version of the catalog and its historical contexts. In analyzing the surviving text of the catalog, the study identifies its bibliographic objectives as the identification, choice, finding, and collocating objectives. Further deduced from these objectives, the study reasons out four general purposes that might be intended by the catalog’s compiler Liu Xin: the catalog was to be a guide to literature, a plan for knowledge organization, a retrieval tool, and a library inventory. Ru classicism (or Confucianism) was the catalog’s guiding philosophy. In classicism‐dominated imperial China, generations of bibliographers followed this model and focused their attention primarily on making bibliography both a classicist guide to literature and a plan for organizing knowledge.",The Library Quarterly,2009
Critical Design in Librarianship: Visual and Narrative Exploration for Critical Praxis,https://doi.org/10.1086/704965,['Shannon Robinson'],"AbstractIn a politically charged social climate, many disciplines are inwardly grappling with historic ideologies and systems of oppression. In information science, critical librarianship seeks to disrupt normative approaches to library work by confronting these ideologies and systems, empowering both library workers and users to understand how these structures affect access and dissemination of information. In industrial design, critical design challenges the status quo by posing troublesome design problems that encourage reflection and discourse. Design works that fall under this category are reactions against consumerism, systemic biases, and heedless scientific and technological development. In librarianship, critical design may be employed to help us explore current paradigms and approaches to library spaces, services, and technologies, as well as to uncover assumptions about what a library is and what a librarian does. Prototypes and narratives derived from critical design can make visible the normative constructions and problems heartedly debated in librarianship.",The Library Quarterly,2019
"Digital Literacy Training in Canada, Part 2: Defining and Measuring Success",https://doi.org/10.1086/717233,"['Heidi Julien', 'David Gerstle', 'Brian Detlor', 'Tara Rose', 'Alexander Serenko']","AbstractThis study explores how public libraries and other local community organizations can best deliver and evaluate the digital literacy initiatives they provide to the communities they serve; this article focuses on program evaluation. Interviews with 14 administrators of digital literacy programs revealed that administrators espouse idealistic intentions for digital literacy programs, particularly to give marginalized people increased educational and vocational opportunities. These administrators are also confident in the success of these programs, despite little formal assessment of outcomes for learners. Success is measured by numbers of program participants and anecdotal evidence of positive outcomes for learners, such as increased confidence or an intention to move forward with career goals. This limited approach to measuring the success of digital literacy programs reveals significant opportunity to more fully and systematically evaluate the outcomes of these programs and to assess whether program goals are being met and ongoing investment of resources is merited.",The Library Quarterly,2022
"Digital Literacy Training for Canadians, Part 1: “It’s … Just Core Public Works”",https://doi.org/10.1086/715918,"['Heidi Julien', 'David Gerstle', 'Brian Detlor', 'Tara Rose', 'Alexander Serenko']","AbstractIn the first of two articles, interviews with administrators of digital literacy programs in Canadian public libraries and other community organizations revealed a sector working to address the digital divide, focusing on marginalized people. Programs narrowly defined digital literacy as skillful use of a range of basic and more advanced technologies. Funding from corporate or other external sources and community interest are key to establishing programs. Challenges arise from lack of resources, including staff time, and limited staff expertise, as well as competition for learners’ time.",The Library Quarterly,2021
Supporting Youth Mental Health through Co-designing a Virtual Reality Experience: A Recipe-Based Co-design Model,https://doi.org/10.1086/729230,"['Jin Lee', 'Elin Bj\\""{o}rling', 'Ryan McLean', 'Anna Moreno', 'Kung Lee']","AbstractThere is a need for librarians to find ways to provide service to the youth population regarding mental health. Building on prior research about co-design and virtual reality in public libraries, the research team aimed to create a positive teen mental health experience by co-designing a virtual reality space through the library system. Eight librarians/library staff representing three participating sites were interviewed at the beginning and the end of the project. We discuss various opportunities and difficulties that emerged in this project to better understand the role and perspective of librarians and then examine implications for those who are considering implementing similar youth programs at their institutions. On the basis of the findings, we propose a recipe-based co-design model to better support librarians by allowing flexibility while clarifying which core elements need to be preserved in the co-design process.",The Library Quarterly,2024
"First Contact: Law Librarianship, the Triple Helix Dilemma, and the Overlooked Foundation of CRT in LIS",https://doi.org/10.1086/731837,"['Nicholas Mignanelli', 'Grace Lo']","AbstractIn the last two decades, librarians and LIS scholars have turned to critical race theory (CRT) for new insights about their field and its relationship to race and racism in the United States. Yet law librarians have been engaging CRT since the 1980s. In fact, founding critical race theorists Richard Delgado and Jean Stefancic wrote about law libraries and legal information—just as several law librarians and legal information scholars were writing about critical legal theory—in the earliest days of the movement. This paper surveys these works and assesses the impact they have had on law librarianship in the hope of encouraging CRT-aligned LIS scholars and librarians in other subfields to discover this previously overlooked foundation of CRT in LIS.",The Library Quarterly,2024
The Use of Linked Data and Artificial Intelligence as Key Elements in the Transformation of Technical Services,https://doi.org/10.1080/01639374.2020.1772434,['Philip Schreur'],missing,Cataloging \& Classification Quarterly,2020
Leveraging KOS to Extend Our Reach with Automated Processes,https://doi.org/10.1080/01639374.2021.2023717,['Chris Oliver'],missing,Cataloging \& Classification Quarterly,2021
Kratt: Developing an Automatic Subject Indexing Tool for the National Library of Estonia,https://doi.org/10.1080/01639374.2021.1998283,"['Marit Asula', 'Jane Makke', 'Linda Kuulmets', 'Raul Sirel']",missing,Cataloging \& Classification Quarterly,2021
An Analysis of BERT (NLP) for Assisted Subject Indexing for Project Gutenberg,https://doi.org/10.1080/01639374.2022.2138666,"['Charlene Chou', 'Tony Chu']",missing,Cataloging \& Classification Quarterly,2022
"Reviewing, Rebutting, and Reimagining Fiction Classification",https://doi.org/10.1080/01639374.2017.1411414,"['Mark Ward', 'Jarmo Saarti']",missing,Cataloging \& Classification Quarterly,2018
Towards Knowledge Organization Ecosystem (KOE),https://doi.org/10.1080/01639374.2021.1998282,['Mayukh Bagchi'],missing,Cataloging \& Classification Quarterly,2021
An Automated Approach to Describing Fiction: A Methodology to Use Book Reviews to Identify Affect,https://doi.org/10.1080/01639374.2021.1992694,"['Heather Moulaison-Sandy', 'Denice Adkins', 'Jenny Bossaller', 'Hyerim Cho']",missing,Cataloging \& Classification Quarterly,2021
Text Mining for Type of Research Classification,https://doi.org/10.1080/01639374.2021.1998281,"['David Lowe', 'Ian Dollinger', 'Tristan Koster', 'Bruce Herbert']",missing,Cataloging \& Classification Quarterly,2021
Thomas Mann's Contributions to Current Library Debates on Cataloging and Bibliographic Control,https://doi.org/10.1080/01639371003766757,['Steven Kiczek'],missing,Cataloging \& Classification Quarterly,2010
Metadata Sharing – How to Transfer Metadata Information among Work Cluster Members,https://doi.org/10.1080/01639374.2021.1989101,"['Angela Vorndran', 'Stefan Grund']",missing,Cataloging \& Classification Quarterly,2021
Automated Subject Indexing: An Overview,https://doi.org/10.1080/01639374.2021.2012311,['Koraljka Golub'],missing,Cataloging \& Classification Quarterly,2021
Automated Classification Using Linked Open Data. A Case Study on Faceted Classification and Wikidata,https://doi.org/10.1080/01639374.2021.1977447,"['Carlo Bianchini', 'Stefano Bargioni']",missing,Cataloging \& Classification Quarterly,2021
"Greek Subject and Name Authorities, and the Library of Congress",https://doi.org/10.1080/01639374.2019.1708523,['Michael Handis'],missing,Cataloging \& Classification Quarterly,2020
The RDA Test and Hebraica Cataloging: Applying RDA in One Cataloging Community,https://doi.org/10.1080/01639374.2011.616450,"['Joan Biella', 'Heidi Lerner']",missing,Cataloging \& Classification Quarterly,2011
The Program for Cooperative Cataloging: Backstory and Future Potential,https://doi.org/10.1080/01639374.2019.1699621,['Sarah Thomas'],missing,Cataloging \& Classification Quarterly,2020
Social Bibliography: A Personal Perspective on Libraries and the Semantic Web,https://doi.org/10.1300/J104v43n03_12,['Stuart Weibel'],missing,Cataloging \& Classification Quarterly,2007
De-Professionalization of Cataloging and Classification Practitioners in the Digital Environment: Retooling and Reskilling Issues in Academic Libraries in Nigeria,https://doi.org/10.1080/01639374.2019.1657535,"['Kemi Olayemi', 'Olalekan Olayemi']",missing,Cataloging \& Classification Quarterly,2019
Fiction Genres in Bookstores and Libraries: A Comparison of Commercial and Professional Classifications,https://doi.org/10.1080/01639374.2020.1850590,"['Philip Hider', 'Barbara Spiller']",missing,Cataloging \& Classification Quarterly,2020
The Status of Knowledge Organization in Library and Information Science Master’s Programs,https://doi.org/10.1080/01639374.2021.1934766,['Michèle Hudon'],missing,Cataloging \& Classification Quarterly,2021
Resource Discovery for the Twenty-First Century Library: Case Studies and Perspectives on the Role of IT in User Engagement and Empowerment,https://doi.org/10.1080/01639374.2021.1943588,['Heather Cribbs'],missing,Cataloging \& Classification Quarterly,2021
Moving from OPAC to Discovery Systems: Nigerian Librarians’ Perceived Knowledge and Readiness,https://doi.org/10.1080/01639374.2020.1715520,"['Ismail Adeyemi', 'Kamal Omopupa']",missing,Cataloging \& Classification Quarterly,2020
A Review of “Indexing and Retrieval of Non-Text Information”,https://doi.org/10.1080/01639374.2013.816813,['Hermine Vermeij'],missing,Cataloging \& Classification Quarterly,2013
Fiction in a Phenomenon-Based Classification,https://doi.org/10.1080/01639374.2021.1946232,"['Patrícia Almeida', 'Claudio Gnoli']",missing,Cataloging \& Classification Quarterly,2021
Music Social Tagging and RDA Name Authorities: Can User-Generated Tags and Professional Metadata Live in Harmony?,https://doi.org/10.1080/01639374.2024.2360494,"['Kabel Stanwicks', 'Hemalata Iyer']",missing,Cataloging \& Classification Quarterly,2024
Foundations of Digital Universities,https://doi.org/10.1080/01639374.2016.1245231,"['Vincenzo Maltese', 'Fausto Giunchiglia']",missing,Cataloging \& Classification Quarterly,2017
Assessing Metadata and Controlling Quality in Scholarly Ebooks,https://doi.org/10.1080/01639374.2015.1018397,"['Ravit David', 'Dana Thomas']",missing,Cataloging \& Classification Quarterly,2015
"Text Mining and Subject Analysis for Fiction; or, Using Machine Learning and Information Extraction to Assign Subject Headings to Dime Novels",https://doi.org/10.1080/01639374.2019.1653413,['Matthew Short'],missing,Cataloging \& Classification Quarterly,2019
"An Interview with Jean Weihs, Nancy B. Olson, and Verna Urbanski (October 2002)",https://doi.org/10.1300/J104v36n01_02,"['Carolynne Myall', 'Sandra Roe']",missing,Cataloging \& Classification Quarterly,2003
The Authority File of the Biblioteca di Cultura Medievale,https://doi.org/10.1300/J104v39n01_23,['Maria Donati'],missing,Cataloging \& Classification Quarterly,2004
Creating and Evaluating MARC 21 Bibliographic Records Using ChatGPT,https://doi.org/10.1080/01639374.2024.2394513,['Shoichi Taniguchi'],missing,Cataloging \& Classification Quarterly,2024
Forty Years of Classification Online: Final Chapter or Future Unlimited?,https://www.tandfonline.com/doi/abs/10.1300/J104v42n03_01,['Karen Markey'],missing,Cataloging \& Classification Quarterly,2006
"The Teaching of Information Processing in the University of Buenos Aires, Argentina",https://www.tandfonline.com/doi/abs/10.1300/J104v41n03_08,"['Elsa Barber', 'Silvia Pisano']",missing,Cataloging \& Classification Quarterly,2006
Concept Relationships in Knowledge Organization Systems: Elements for Analysis and Common Research Among Fields,https://doi.org/10.1080/01639374.2017.1357157,"['Walter Moreira', 'Daniel Martínez-Ávila']",missing,Cataloging \& Classification Quarterly,2018
An Experiment with the Use of ChatGPT for LCSH Subject Assignment on Electronic Theses and Dissertations,https://doi.org/10.1080/01639374.2024.2394516,"['T. Eric H. C. Chow', 'Xiaoli Li']",missing,Cataloging \& Classification Quarterly,2024
Using Qualitative Methods to Analyze Online Catalog Interfaces,https://doi.org/10.1080/01639374.2015.1013235,['Piero Polidoro'],missing,Cataloging \& Classification Quarterly,2015
Factotem: What is Information Access for?,https://doi.org/10.1080/01639374.2018.1494654,['Melanie Feinberg'],missing,Cataloging \& Classification Quarterly,2018
Bibliographic Relationships “in the Links Below”: The RDA Designators’ Applicability to YouTube Video Descriptions,https://doi.org/10.1080/01639374.2024.2391295,['Philip Hider'],missing,Cataloging \& Classification Quarterly,2024
Cataloging News,https://doi.org/10.1080/01639374.2013.785176,['Robert Bothmann'],missing,Cataloging \& Classification Quarterly,2013
Scientific Models as Works,https://doi.org/10.1300/J104v33n03_07,['Anita Coleman'],missing,Cataloging \& Classification Quarterly,2002
Lynne C. Howarth: Navigating the Waters of Change,https://doi.org/10.1080/01639374.2021.1919812,"['Brian Dobreski', 'Eva Jansen', 'Barbara Kwaśnik']",missing,Cataloging \& Classification Quarterly,2021
Cataloging News,https://doi.org/10.1080/01639371003773548,['Robert Bothmann'],missing,Cataloging \& Classification Quarterly,2010
Cataloging News,https://doi.org/10.1080/01639374.2017.1281673,['Violet Fox'],missing,Cataloging \& Classification Quarterly,2017
FRBR: Hype or Cure-All? Introduction,https://doi.org/10.1300/J104v39n03_01,['Patrick Boeuf'],missing,Cataloging \& Classification Quarterly,2005
Word Division in the Transcription of Chinese Script in the Title Fields of Bibliographic Records,https://doi.org/10.1300/J104v32n03_08,['Clément Arsenault'],missing,Cataloging \& Classification Quarterly,2001
Tools of the Trade: Vocabulary Management Software,https://doi.org/10.1300/J104v37n03_10,['Melissa Riesland'],missing,Cataloging \& Classification Quarterly,2004
CATALOGING NEWS,https://doi.org/10.1300/J104v32n02_11,['Sandra Roe'],missing,Cataloging \& Classification Quarterly,2001
Text Mining and Data Mining in Knowledge Organization and Discovery: The Making of Knowledge-Based Products,https://doi.org/10.1300/J104v37n01_08,"['L. Haravu', 'A. Neelameghan']",missing,Cataloging \& Classification Quarterly,2003
Information Organization to Assist Knowledge Discovery: Case Studies with Non-Bibliographic Databases,https://doi.org/10.1300/J104v37n01_09,"['A. Neelameghan', 'Hemalata Iyer']",missing,Cataloging \& Classification Quarterly,2003
"The Thesaurus: A Historical Viewpoint, with a Look to the Future",https://doi.org/10.1300/J104v37n03_02,"['Jean Aitchison', 'Stella Clarke']",missing,Cataloging \& Classification Quarterly,2004
CATALOGING NEWS,https://doi.org/10.1300/J104v36n01_08,['Sandra Roe'],missing,Cataloging \& Classification Quarterly,2003
Cataloging News,https://doi.org/10.1080/01639374.2011.603071,['Robert Bothmann'],missing,Cataloging \& Classification Quarterly,2011
International Cataloguing Tradition and Italian Rules: Common Ground and Specific Features,https://doi.org/10.1300/J104v44n01_09,"['Carlo Bianchini', 'Mauro Guerrini']",missing,Cataloging \& Classification Quarterly,2007
Body-Oriented Cataloging as a Method of Inclusive Gender Representation,https://doi.org/10.1080/01639374.2022.2089795,['Travis Wagner'],missing,Cataloging \& Classification Quarterly,2022
Cataloging News,https://doi.org/10.1080/01639374.2022.2079791,['Anne Welsh'],missing,Cataloging \& Classification Quarterly,2022
Cataloging News,https://doi.org/10.1080/01639374.2012.668477,['Robert Bothmann'],missing,Cataloging \& Classification Quarterly,2012
Time Period Categorization in Fiction: A Comparative Analysis of Machine Learning Techniques,https://doi.org/10.1080/01639374.2024.2315548,['Fereshta Westin'],missing,Cataloging \& Classification Quarterly,2024
Discovery Practices of Early Career Life Sciences and Engineering Faculty: A Qualitative Approach,https://doi.org/10.1080/01462679.2022.2042448,"['Anne Judith Brink', 'Berenika Webster']",missing,Collection Management,2022
Evaluating an HIV/AIDS Book Collection Using a Timeline Approach,https://doi.org/10.1300/J105v26n01_04,['Anita Ondrusek'],missing,Collection Management,2002
Life After Lovelace: A Select Bibliography of Women in Computer Science,https://doi.org/10.1080/01462679.2024.2362135,['Heidi Blackburn'],missing,Collection Management,2024
The Future of Literature,https://doi.org/10.1300/J105v31n01_06,['N. Hayles'],missing,Collection Management,2007
"Collection Development in the New Millennium—Evaluating, Selecting, Annotating, Organizing for Ease of Access, Reevaluating, and Updating Electronic Resources",https://www.tandfonline.com/doi/abs/10.1300/J105v25n01_05,['Virginia Baldwin'],missing,Collection Management,2001
Analyzing the Relationship between Citation-Based Impact Metrics and Electronic Journal Usage: A Case Study,https://doi.org/10.1080/01462679.2023.2230166,"['Jiebei Luo', 'Adam Williams']",missing,Collection Management,2023
