Database,Relevant from Title/Abstract,Title,Authors,Venue,Year,Abstract,Link
Google,Yes,Ethical Recommenders in the Public Library Sector,['S Daniil'],"… of the 2022 AAAI/ACM Conference on AI, Ethics, and …",2022.0,"(Google Books,  the author when publicly available (eg, gender, nationality, age). Concurrently,  I am conducting research on diversity measures that have been used in Recommenders",https://dl.acm.org/doi/abs/10.1145/3514094.3539536
Google,Yes,Ethical Considerations and Privacy Concerns in AI-Enabled Libraries,['A Kavak'],Applications of Artificial Intelligence in Libraries,2024.0,"The primary aim of this chapter is to discuss the ethical  artificial intelligence technologies  in libraries may bring.In particular, it addresses how artificial intelligence can be used in library",https://www.igi-global.com/chapter/ethical-considerations-and-privacy-concerns-in-ai-enabled-libraries/346529
Google,Yes,Promoting AI Literacy in Library Research Guides: Practical and Ethical Considerations,"['D Solomon', 'S Baydoun']",,2024.0,library guides that critically engage with Generative AI tools and promote information literacy  principles. Library  the broader societal implications of AI and gain a deeper understanding,https://commons.case.edu/staffworks/23/
Google,Yes,Ethics and AI in the Dutch public library sector,['N Bogaards'],,2023.0,"a diverse group of stakeholders was invited to discuss the intersection of ethics, libraries and  AI public libraries plan to proceed to achieve an ethically responsible and safe integration of",http://repository.ifla.org/handle/123456789/2937
Google,Yes,Libraries and Artificial Intelligence: The Power of Enhancing Data Ethics,['MR Korosec'],… on Knowledge and Organization Systems in Library …,2021.0,"In this chapter, the author examines ways in which technologies and libraries are trying to   , the author will examine how to strengthen data ethics in those particular fields of library use",https://www.igi-global.com/chapter/libraries-and-artificial-intelligence/285508
Google,Yes,"Responsible Operations: Data Science, Machine Learning, and AI in Libraries",['R MacGregor'],the american archivist,2020.0,"data science, machine learning, and AI have on libraries.  ethics of machine learning and  AI in libraries and information has global reach and impact in a digital world, where all libraries",https://meridian.allenpress.com/american-archivist/article-abstract/83/2/483/462529
Google,Yes,Primed and ready? Ethical guidelines and the adoption of AI tools in research and library work,['LA Nogueira'],Septentrio Conference Series,2023.0,"beneficial to revise ethical guidelines, less so because AI requires concrete recommendations,  and  Also, new possibilities afforded by AI might put pressure on certain values, such as",https://septentrio.uit.no/index.php/SCS/article/view/7275
Google,Yes,"AI, ethics, and libraries: a literature review",['S Chowdhury'],,,,missing
Google,Yes,"Responsible Operations: Data Science, Machine Learning, and AI in Libraries (Dublin, OH: OCLC Research, 2019)",['T Padilla'],,,,missing
Google,Yes,The ethics of AI in digital libraries: A review,"['G Bello-Orgaz', 'D Camacho']",,,,missing
Google,Yes,Application Research on diversity of Library recommendation system based on word2vec,"['GC Ruan', 'F Xie', 'SW Tu']",,,,missing
Google,Yes,"Responsible operations: Data science, machine learning, and AI in libraries. OCLC",['T Padilla'],,,,missing
Google,Yes,The Unfairness of Popularity Bias in Book Recommendation. arXiv 2022,"['M Naghiaei', 'HA Rahmani', 'M Dehghan']",,,,missing
Google,Yes,"Responsible operations: data science, machine learning, and AI in libraries, 2019",['T Padilla'],,,,missing
Google,Yes,"Responsible operations: Data science, machine learning, and AI in libraries. OCLC RESEARCH POSITION PAPER, Dublin, Ohio: OCLC Research",['T Padilla'],,,,missing
Scopus,Yes,The Unfairness of Popularity Bias in Book Recommendation,Naghiaei M.; Rahmani H.A.; Dehghan M.,Communications in Computer and Information Science,2022.0,"Recent studies have shown that recommendation systems commonly suffer from popularity bias. Popularity bias refers to the problem that popular items (i.e., frequently rated items) are recommended frequently while less popular items are recommended rarely or not at all. Researchers adopted two approaches to examining popularity bias: (i) from the users’ perspective, by analyzing how far a recommendation system deviates from user’s expectations in receiving popular items, and (ii) by analyzing the amount of exposure that long-tail items receive, measured by overall catalog coverage and novelty. In this paper, we examine the first point of view in the book domain, although the findings may be applied to other domains as well. To this end, we analyze the well-known Book-Crossing dataset and define three user groups based on their tendency towards popular items (i.e., Niche, Diverse, Bestseller-focused). Further, we evaluate the performance of nine state-of-the-art recommendation algorithms and two baselines (i.e., Random, MostPop) from both the accuracy (e.g., NDCG, Precision, Recall) and popularity bias perspectives. Our results indicate that most state-of-the-art recommendation algorithms suffer from popularity bias in the book domain, and fail to meet users’ expectations with Niche and Diverse tastes despite having a larger profile size. Conversely, Bestseller-focused users are more likely to receive high-quality recommendations, both in terms of fairness and personalization. Furthermore, our study shows a tradeoff between personalization and unfairness of popularity bias in recommendation algorithms for users belonging to the Diverse and Bestseller groups, that is, algorithms with high capability of personalization suffer from the unfairness of popularity bias. Finally, across the models, our results show that WMF and VAECF can provide a higher quality recommendation when considering both accuracy and fairness perspectives. © 2022, The Author(s), under exclusive license to Springer Nature Switzerland AG.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134358321&doi=10.1007%2f978-3-031-09316-6_7&partnerID=40&md5=548f25798dbb919d482bf020f932d01b
Scopus,Yes,Actionable Approaches to Promote Ethical AI in Libraries,Bubinger H.; Dinneen J.D.,Proceedings of the Association for Information Science and Technology,2021.0,"The widespread use of artificial intelligence (AI) in many domains has revealed numerous ethical issues from data and design to deployment. In response, countless broad principles and guidelines for ethical AI have been published, and following those, specific approaches have been proposed for how to encourage ethical outcomes of AI. Meanwhile, library and information services too are seeing an increase in the use of AI-powered and machine learning-powered information systems, but no practical guidance currently exists for libraries to plan for, evaluate, or audit the ethics of intended or deployed AI. We therefore report on several promising approaches for promoting ethical AI that can be adapted from other contexts to AI-powered information services and in different stages of the software lifecycle.  Annual Meeting of the Association for Information Science & Technology | Oct. 29 – Nov. 3, 2021 | Salt Lake City, UT. Author(s) retain copyright, but ASIS&T receives an exclusive publication license.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139980635&doi=10.1002%2fpra2.528&partnerID=40&md5=89bbdb8bb5d8983cf55d3b2c66682337
Scopus,Yes,Libraries and artificial intelligence: The power of enhancing data ethics,Korosec M.R.,Handbook of Research on Knowledge and Organization Systems in Library and Information Science,2021.0,"Libraries are increasingly entering the digital age, and demands on them to offer more digital services are widening, with user expectations of ""remote or distant access,"" ""distant learning,"" and the use of other modern internet technologies. To this end, libraries must accelerate their use of technologies like AI, ""data mining,"" ""machine-readable data,"" ""machine-generated classification,"" ""semantic ontologies,"" and internet accessible catalogs and content because their aim should always be user benefit, user convenience, and user satisfaction. In this chapter, the author examines ways in which technologies and libraries are trying to fulfill their modern role and expectations of the modern user. Additionally, the author will examine how to strengthen data ethics in those particular fields of library use that most endanger the user's intellectual freedom on one side and his right to privacy on the other. One of the essential roles of modern libraries, in their new ""informational"" identity, will be as ""guardians of data ethics and intellectual freedom."" © 2021, IGI Global.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128438888&doi=10.4018%2f978-1-7998-7258-0.ch023&partnerID=40&md5=5c56c52856b21582737306bca2fa59dd
Scopus,Yes,The Ethics of Classifying the World: From Library Catalogues to AI,Thornley C.; Bustillo M.; Supprian C.S.,"Proceedings of the European Conference on Knowledge Management, ECKM",2022.0,"This paper reports on an initial exploration of knowledge classification ethics: What are the important ethical issues in how we classify knowledge and what kind of cognitive, cultural and social impacts may they have? An important part of Knowledge Management is the classification and organisation of knowledge to make it findable and reveal connections in related subjects. Discussion on the ethical aspects of this issue have recently been brought to the fore in both Library and Information Studies (LIS), in terms of objections to Library classification terms, and also in AI which can classify data using data sets which themselves reflect existing injustices and bias. The ethical implications of both types of knowledge classification can be better understood when the classification ethics debate in LIS and AI are used to inform each other. Findings include that AI provides clarity on measuring adverse outcomes whilst LIS provides nuance on the potential cultural and psychological harm of inappropriate terminology and inaccurate positioning within ‘worlds of knowledge’. © 2022, Academic Conferences and Publishing International Limited. All rights reserved.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145439516&doi=10.34190%2feckm.23.2.514&partnerID=40&md5=8915459878ac69ac6eb09b5cbf2afc3b
Scopus,Yes,Depictions of Diversity in Books Recommended for Storytime: A Cautionary Tale,Ingram E.; Cahill M.,Libri,2022.0,"Elements of equity, diversity, and inclusion (EDI) in diverse books support children's intellectual, social, and emotional development. Public library storytime programs serve as venues to showcase books with characters of varied backgrounds, identities, and experiences who may or may not reflect those of the communities the libraries serve. Because storytime providers often rely on online resources to plan their programs, it is important to investigate the presence and quality of EDI elements in books recommended for storytimes by these resources. The present study analyzed the text, illustrations, and WorldCat metadata for a random sample of 481 children's books recommended by six popular online resources for storytime planning. Results revealed an overall lack of EDI in the recommended books with few characters representing parallel cultures, living with a disability or chronic illness, practicing a religion other than Christianity, or communicating in a language other than English. The paper includes implications for storytime providers and library administrators in the areas of program planning, professional development, and program assessment. © 2022 Walter de Gruyter GmbH, Berlin/Boston.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133845740&doi=10.1515%2flibri-2021-0126&partnerID=40&md5=0b088f80d128d7d6b290df90a4f489e3
Scopus,Yes,Eliminating bias: enhancing children’s book recommendation using a hybrid model of graph convolutional networks and neural matrix factorization,Shen L.; Jiang L.,PeerJ Computer Science,2024.0,"Managing user bias in large-scale user review data is a significant challenge in optimizing children’s book recommendation systems. To tackle this issue, this study introduces a novel hybrid model that combines graph convolutional networks (GCN) based on bipartite graphs and neural matrix factorization (NMF). This model aims to enhance the precision and efficiency of children’s book recommendations by accurately capturing user biases. In this model, the complex interactions between users and books are modeled as a bipartite graph, with the users’ book ratings serving as the weights of the edges. Through GCN and NMF, we can delve into the structure of the graph and the behavioral patterns of users, more accurately identify and address user biases, and predict their future behaviors. Compared to traditional recommendation systems, our hybrid model excels in handling large-scale user review data. Experimental results confirm that our model has significantly improved in terms of recommendation accuracy and scalability, positively contributing to the advancement of children’s book recommendation systems. © 2024 Shen and Jian",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190275288&doi=10.7717%2fpeerj-cs.1858&partnerID=40&md5=5d0f6d16bef32eae8f732485e1e4b578
Scopus,Yes,Ethical considerations and privacy concerns in AI-enabled libraries,Kavak A.,Applications of Artificial Intelligence in Libraries,2024.0,"The primary aim of this chapter is to discuss the ethical dilemmas and privacy concerns that the adoption of artificial intelligence technologies in libraries may bring.In particular, it addresses how artificial intelligence can be used in library services and the associated risks, such as bias, discrimination, lack of transparency, and violations of data privacy. Also explores how artificial intelligence systems can impact human-machine interaction and the potential for replacing library staff. © 2024 by IGI Global. All rights reserved.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194748305&doi=10.4018%2f979-8-3693-1573-6.ch003&partnerID=40&md5=3e757f73a4d50c08f60493f4ca47b0bf
Scopus,Yes,Representation of Libraries in Artificial Intelligence Regulations and Implications for Ethics and Practice,Bradley F.,Journal of the Australian Library and Information Association,2022.0,"We are already living in an algorithmic society. AI policies and regulations are now emerging at the same time as more is learned about the implications of bias in machine learning sets, the surveillance risks of smart cities and facial recognition, and automated decision-making by government, among many other applications of AI and machine learning. Each of these issues raises concerns around ethics, privacy, and data protection. This paper introduces some of the key AI regulatory developments to date and engagement by libraries in these processes. While many AI applications are largely emergent and hypothetical in libraries, some mature examples can be identified in research literature searching, language tools for textual analysis, and access to collection data. The paper presents a summary of how library activities such as these are represented in national AI plans and ways that libraries have engaged with other aspects of AI regulation including the development of ethical frameworks. Based on the sector's expertise in related regulatory issues including copyright and data protection, the paper suggests further opportunities to contribute to the future of ethical, trustworthy, and transparent AI. © 2022 Fiona Bradley.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135832248&doi=10.1080%2f24750158.2022.2101911&partnerID=40&md5=1ff33093412d54d1b2d582fce4f4fe00
Scopus,Yes,Ethical considerations of AI implementation in the library era,Rajkumar N.; Viji C.; Mohanraj A.; Senthilkumar K.R.; Jagajeevan R.; Kovilpillai J.A.,"Improving Library Systems with AI: Applications, Approaches, and Bibliometric Insights",2024.0,"As the mixture of artificial intelligence (AI) continues to permeate several sectors, ethical considerations have ended up a focus in ensuring responsible and sustainable AI deployment. This virtual library explores the multifaceted moral dimensions related to AI implementation. The gathering of scholarly articles and studies papers delves into key moral problems, spanning troubles which includes bias and fairness, transparency, responsibility, privacy, and societal impact. The number one section of the virtual library addresses the undertaking of algorithmic bias and fairness, reading how biases in AI systems can perpetuate societal inequalities. Various methods to mitigating bias and selling fairness in AI algorithms are explored, providing insights into the improvement of more equitable AI programs. Transparency and duty are the focal factors of the second one segment, emphasizing the need for clean conversation of AI decision-making techniques and mechanisms for holding AI systems answerable for their movements © 2024, IGI Global. All rights reserved.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195741950&doi=10.4018%2f9798369355930.ch007&partnerID=40&md5=3b3e21bbce042efa379f560b026ca563
Scopus,Yes,Study of the Literature of Artificial Intelligence Ethics in Library and Information from 2015—2019; [近缘年图情杂杂悦陨期刊人工智能 伦理研究文献分析与启示],Huang K.; Xu X.; Li A.; Xu F.,Journal of Modern Information,2021.0,"[Purpose/Significance] This paper aims to explore the research status of artificial intelligence ethics in lihrary and information science, and promote the healthy development of information management technology in the synchronous development of ethical research. [Method/Process] 39 academic papers discussing the ethics of artificial intelligence were collected under the discipline category of library and information in the core collection of Web of Science in the past five years. The content analysis method was used to analyze from the perspectives of problem levels, application fields and solutions. [ Result/Conclusion] The findings indicated that the papers published in library and information science journals studied similar issues as the whole field of artificial ethics. The research perspective covered both humanism and technicism. The research content covered data, algorithm and artificial intelligence system at different levels, involving medical and health, political and military fields. In addition, the research discussed the solutions from the social and technical perspectives. The future research can further focus on the information life cycle, strengthen the diversity of the level and field ol ethical issues, and promote the research ol artificial intelligence ethical norms and guidelines. © 2021 Editorial Board of Journal of Modern Information. All rights reserved.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115776481&doi=10.3969%2fj.issn.1008-0821.2021.06.015&partnerID=40&md5=efe785df6879d460152ec7c7320b357a
Scopus,Yes,Exploring author gender in book rating and recommendation,Ekstrand M.D.; Kluver D.,User Modeling and User-Adapted Interaction,2021.0,"Collaborative filtering algorithms find useful patterns in rating and consumption data and exploit these patterns to guide users to good items. Many of these patterns reflect important real-world phenomena driving interactions between the various users and items; other patterns may be irrelevant or reflect undesired discrimination, such as discrimination in publishing or purchasing against authors who are women or ethnic minorities. In this work, we examine the response of collaborative filtering recommender algorithms to the distribution of their input data with respect to one dimension of social concern, namely content creator gender. Using publicly available book ratings data, we measure the distribution of the genders of the authors of books in user rating profiles and recommendation lists produced from this data. We find that common collaborative filtering algorithms tend to propagate at least some of each user’s tendency to rate or read male or female authors into their resulting recommendations, although they differ in both the strength of this propagation and the variance in the gender balance of the recommendation lists they produce. The data, experimental design, and statistical methods are designed to be reusable for studying potentially discriminatory social dimensions of recommendations in other domains and settings as well. © 2021, Springer Nature B.V.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100480096&doi=10.1007%2fs11257-020-09284-2&partnerID=40&md5=7991afa561912376badc656d08226e18
