Database,Relevant from Title/Abstract,Exists,Retrievable,Eligible,Title,Authors,Venue,Year,Abstract,Link
Google,Yes,No,Yes,,For an ethics of personalized recommendation at the French National Library,"['C Leclaire', 'L Termignon']",,2022.0,and ethical principles guide the French National Library as it  recommendation system  powered by artificial intelligence (AI)? How does this approach reflect the institution's overall AI,http://repository.ifla.org/handle/123456789/2074
Google,Yes,No,Yes,,"Ethical Implications of Artificial Intelligence and Machine Learning in Libraries and Information Centres: A Frameworks, Challenges, and Best Practices.",['S Mishra'],Library Philosophy & Practice,2023.0,"for libraries and information centres, and recommends future  and monitoring of the ethical  implications of AI and ML.  and ethical approach to the use of AI and ML in libraries and",https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=15220222&AN=175555132&h=Zq8lk4hIqArjLFpK9SvOsx5I0KeJbI9ZoTjJde%2BtFTuvs%2FSpXNo64TcGgfZlTE3j5s5P9rH0fmMEVSlVRbXogg%3D%3D&crl=c
Google,Yes,No,Yes,,Ethical Considerations of AI Implementation in the Library Era,"['N Rajkumar', 'C Viji', 'A Mohanraj']",Improving Library …,2024.0,"and fairness, reading how biases in AI systems can  Various methods to mitigating bias  and selling fairness in AI  of AI in digital libraries and the strategic imperatives for ethical and",https://www.igi-global.com/chapter/ethical-considerations-of-ai-implementation-in-the-library-era/347642
Google,Yes,No,Yes,,Exploring and mitigating gender bias in book recommender systems with explicit feedback,"['S Saxena', 'S Jain']",Journal of Intelligent Information Systems,2024.0,"In this paper, we address the problem of gender bias in recommender systems  gender  bias present in book rating datasets and in the recommendations produced by the recommender",https://link.springer.com/article/10.1007/s10844-023-00827-8
Google,Yes,No,Yes,,Developing Policies for the Ethical Use of Artificial Intelligence in Higher Education and Libraries,['M Mayton'],,,"aspect of AI literacy is understanding the ethical use of AI and  , bias, and inaccuracies of  generative AI, it underscores why  ○ How transparent will libraries be about what AI tools and",https://arch.astate.edu/cgi/viewcontent.cgi?article=1002&context=lib-facpub
Google,Yes,No,Yes,,Responsible practices for responsible libraries: The role of libraries in a world of generative AI,['S SEAH'],,2023.0,"• While it may seem like AI and evaluating AI is out of our wheelhouse, we do not need to   • Consume information not only from AI companies, but from computer scientists, AI ethics",https://ink.library.smu.edu.sg/library_research/206/
Google,Yes,No,Yes,,Depictions of diversity in books recommended for storytime: A cautionary tale,"['E Ingram', 'M Cahill']",Libri,2022.0,This study’s revelation of a significant lack of diversity in recommended books from six  the  resources they are using to select books. Professional development in this area starts with self-,https://www.degruyter.com/document/doi/10.1515/libri-2021-0126/html
Google,Yes,No,Yes,Yes,Eliminating bias: enhancing children's book recommendation using a hybrid model of graph convolutional networks and neural matrix factorization,"['L Shen', 'L Jiang']",PeerJ Computer Science,2024.0,This serious user review bias (as shown in Fig. 1) severely impacts the accuracy of book  recommendation systems. We propose a new bias detection algorithm that uses directed,https://peerj.com/articles/cs-1858/
Google,Yes,No,Yes,,The ethics of classifying the world: From library catalogues to AI,"['C Thornley', 'M Bustillo', 'C Schmidt Supprian']",,2022.0,"bias in Library Classification systems, such as the Dewey Decimal System and the Library  of  to concerns about bias in Artificial Intelligence (AI) systems and the ethical impacts of how",https://esource.dbs.ie/bitstream/handle/10788/4358/Thornley.pdf?sequence=1
Google,Yes,No,Yes,No (extended abstract),Ethical Recommenders in the Public Library Sector,['S Daniil'],"… of the 2022 AAAI/ACM Conference on AI, Ethics, and …",2022.0,"(Google Books,  the author when publicly available (eg, gender, nationality, age). Concurrently,  I am conducting research on diversity measures that have been used in Recommenders",https://dl.acm.org/doi/abs/10.1145/3514094.3539536
Google,Yes,No,Yes,No (slidedeck),Promoting AI Literacy in Library Research Guides: Practical and Ethical Considerations,"['D Solomon', 'S Baydoun']",,2024.0,library guides that critically engage with Generative AI tools and promote information literacy  principles. Library  the broader societal implications of AI and gain a deeper understanding,https://commons.case.edu/staffworks/23/
Google,Yes,No,Yes,No (poster),Ethics and AI in the Dutch public library sector,['N Bogaards'],,2023.0,"a diverse group of stakeholders was invited to discuss the intersection of ethics, libraries and  AI public libraries plan to proceed to achieve an ethically responsible and safe integration of",http://repository.ifla.org/handle/123456789/2937
Google,Yes,No,Yes,No (poster),Primed and ready? Ethical guidelines and the adoption of AI tools in research and library work,['LA Nogueira'],Septentrio Conference Series,2023.0,"beneficial to revise ethical guidelines, less so because AI requires concrete recommendations,  and  Also, new possibilities afforded by AI might put pressure on certain values, such as",https://septentrio.uit.no/index.php/SCS/article/view/7275
Scopus,Yes,No,Yes,No (not available in English),Study of the Literature of Artificial Intelligence Ethics in Library and Information from 2015—2019; [近缘年图情杂杂悦陨期刊人工智能 伦理研究文献分析与启示],Huang K.; Xu X.; Li A.; Xu F.,Journal of Modern Information,2021.0,"[Purpose/Significance] This paper aims to explore the research status of artificial intelligence ethics in lihrary and information science, and promote the healthy development of information management technology in the synchronous development of ethical research. [Method/Process] 39 academic papers discussing the ethics of artificial intelligence were collected under the discipline category of library and information in the core collection of Web of Science in the past five years. The content analysis method was used to analyze from the perspectives of problem levels, application fields and solutions. [ Result/Conclusion] The findings indicated that the papers published in library and information science journals studied similar issues as the whole field of artificial ethics. The research perspective covered both humanism and technicism. The research content covered data, algorithm and artificial intelligence system at different levels, involving medical and health, political and military fields. In addition, the research discussed the solutions from the social and technical perspectives. The future research can further focus on the information life cycle, strengthen the diversity of the level and field ol ethical issues, and promote the research ol artificial intelligence ethical norms and guidelines. © 2021 Editorial Board of Journal of Modern Information. All rights reserved.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115776481&doi=10.3969%2fj.issn.1008-0821.2021.06.015&partnerID=40&md5=efe785df6879d460152ec7c7320b357a
