"Authors","Title","Year","Source title","Link","Abstract"
"Kotkov D.; Medlar A.; Maslov A.; Satyal U.R.; Neovius M.; Glowacka D.","The Tag Genome Dataset for Books","2022","CHIIR 2022 - Proceedings of the 2022 Conference on Human Information Interaction and Retrieval","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127450766&doi=10.1145%2f3498366.3505833&partnerID=40&md5=9cc0f5d2cb8e63e9f092a4c7e530123d","Attaching tags to items, such as books or movies, is found in many online systems. While a majority of these systems use binary tags, continuous item-Tag relevance scores, such as those in tag genome, offer richer descriptions of item content. For example, tag genome for movies assigns the tag ""gangster""to the movie ""The Godfather (1972)""with a score of 0.93 on a scale of 0 to 1. Tag genome has received considerable attention in recommender systems research and has been used in a wide variety of studies, from investigating the effects of recommender systems on users to generating ideas for movies that appeal to certain user groups. In this paper, we present tag genome for books, a dataset containing book-Tag relevance scores, where a significant number of tags overlap with those from tag genome for movies. To generate our dataset, we designed a survey based on popular books and tags from the Goodreads dataset. In our survey, we asked users to provide ratings for how well tags applied to books. We generated book-Tag relevance scores based on user ratings along with features from the Goodreads dataset. In addition to being used to create book recommender systems, tag genome for books can be combined with the tag genome for movies to tackle cross-domain problems, such as recommending books based on movie preferences.  © 2022 Owner/Author."
"Hu Y.; LeBlanc Z.; Diesner J.; Underwood T.; Layne-Worthey G.; Stephen Downie J.","Complexities associated with user-generated book reviews in digital libraries: Temporal, cultural, and political case studies","2022","Proceedings of the ACM/IEEE Joint Conference on Digital Libraries","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133290156&doi=10.1145%2f3529372.3530930&partnerID=40&md5=31d97b2269fec252ff43b0281a18aa56","While digital libraries (DL) have made large-scale collections of digitized books increasingly available to researchers [31, 67], there remains a dearth of similar data provisions or infrastructure for computational studies of the consumption and reception of books. In the last two decades, user-generated book reviews on social media have opened up unprecedented research possibilities for humanities and social sciences (HSS) scholars who are interested in book reception. However, limitations and gaps have emerged from existing DH research which utilize social media data for answering HSS questions. To shed light on the under-investigated features of user-generated book reviews and the challenges they might pose to scholarly research, we conducted three exemplar cases studies: (1) a longitudinal analysis for profiling the temporal changes of ratings and popularity of 552 books across ten years; (2) a cross-cultural comparison of book ratings of the same 538 books across two platforms; and, (3) a classification experiment on 20,000 sponsored and non-sponsored books reviews. Correspondingly, our research reveals the real-world complexities and under-investigated features of user-generated book reviews in three dimensions: The transience of book ratings and popularity (temporal dimension), the cross-cultural differences in reading interests and book reception (cultural dimension), and the user power dynamics behind the publicly accessible reviews (""political"" dimension). Our case studies also demonstrate the challenges posed by user-generated book reviews' real-world complexities to their scholarly usage and propose solutions to these challenges. We conclude that DL stakeholders and scholars working with user-generated book reviews should look. © 2022 Institute of Electrical and Electronics Engineers Inc.. All rights reserved."
"Wei Y.; Wang X.; Nie L.; Li S.; Wang D.; Chua T.-S.","Causal Inference for Knowledge Graph Based Recommendation","2023","IEEE Transactions on Knowledge and Data Engineering","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146234200&doi=10.1109%2fTKDE.2022.3231352&partnerID=40&md5=f2a7668cd993f877005cdc3415498456","Knowledge Graph (KG), as a side-information, tends to be utilized to supplement the collaborative filtering (CF) based recommendation model. By mapping items with the entities in KGs, prior studies mostly extract the knowledge information from the KGs and inject it into the representations of users and items. Despite their remarkable performance, they fail to model the user preference on attribute in the KG, since they ignore that (1) the structure information of KG may hinder the user preference learning, and (2) the user's interacted attributes will result in the bias issue on the similarity scores. With the help of causality tools, we construct the causal-effect relation between the variables in KG-based recommendation and identify the reasons causing the mentioned challenges. Accordingly, we develop a new framework, termed Knowledge Graph-based Causal Recommendation (KGCR), which implements the deconfounded user preference learning and adopts counterfactual inference to eliminate bias in the similarity scoring. Ultimately, we evaluate our proposed model on three datasets, including Amazon-book, LastFM, and Yelp2018 datasets. By conducting extensive experiments on the datasets, we demonstrate that KGCR outperforms several state-of-the-art baselines, such as KGNN-LS (Wang et al., 2019), KGAT (Wang et al., 2019) and KGIN (Wang et al., 2021). © 1989-2012 IEEE."
"Adamopoulos P.; Tuzhilin A.","On unexpectedness in recommender systems: Or how to better expect the unexpected","2014","ACM Transactions on Intelligent Systems and Technology","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84919756227&doi=10.1145%2f2559952&partnerID=40&md5=0ba76d5a0daed820556dd9207157f8fd","Although the broad social and business success of recommender systems has been achieved across several domains, there is still a long way to go in terms of user satisfaction. One of the key dimensions for significant improvement is the concept of unexpectedness. In this article, we propose a method to improve user satisfaction by generating unexpected recommendations based on the utility theory of economics. In particular, we propose a new concept of unexpectedness as recommending to users those items that depart from what they would expect from the system - the consideration set of each user. We define and formalize the concept of unexpectedness and discuss how it differs from the related notions of novelty, serendipity, and diversity. In addition, we suggest several mechanisms for specifying the users' expectations and propose specific performance metrics to measure the unexpectedness of recommendation lists. We also take into consideration the quality of recommendations using certain utility functions and present an algorithm for providing users with unexpected recommendations of high quality that are hard to discover but fairly match their interests. Finally, we conduct several experiments on ""real-world"" datasets and compare our recommendation results with other methods. The proposed approach outperforms these baseline methods in terms of unexpectedness and other important metrics, such as coverage, aggregate diversity and dispersion, while avoiding any accuracy loss. © 2014 ACM."
"Yadav K.K.; Soni H.K.; Pathik N.","Recommendation System Based on Double Ensemble Models using KNN-MF","2023","International Journal of Advanced Computer Science and Applications","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161278126&doi=10.14569%2fIJACSA.2023.0140566&partnerID=40&md5=a25b72ccd49c22dcd8300303aa15ad70","In today's digital environment, recommendation systems are essential as they provide personalised content to users, increasing user engagement and enhancing user satisfaction. This paper proposes a double ensemble recommendation model that combines two collaborative filtering algorithms, K Nearest Neighbour (KNN) and Matrix Factorization (MF). KNN is a neighbourhood-based algorithm that uses the similarity between users or items to make recommendations. At the same time, MF is a model-based algorithm that decomposes the user-item rating matrix into lower-dimensional matrices representing the latent user and item factors. The proposed double ensemble model uses KNN and MF to predict missing ratings matrix and combines their predictions using stacking. To evaluate the performance of the proposed ensemble model, we conducted experiments on three datasets i.e. Movielense, BookCrossing dataset and Hindi Movie dataset and compared the results with those of single algorithm approaches. The experimental results demonstrate that the double ensemble model outperforms the single algorithm approaches regarding accuracy metrics such as Mean Square Error (MSE), Root Mean Squared Error (RMSE), Mean Absolute Error (MAE). The results indicate that stacked KNN and MF lead to a more robust and more accurate recommendation system. © (2023), All Rights Reserved."
"Kovács B.; Sharkey A.J.","The Paradox of Publicity: How Awards Can Negatively Affect the Evaluation of Quality","2014","Administrative Science Quarterly","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84893871013&doi=10.1177%2f0001839214523602&partnerID=40&md5=490f67a4a07a781f64a4e62069415ab4","Although increases in status often lead to more favorable inferences about quality in subsequent evaluations, in this paper, we examine a setting in which an increase to an actor's status results in less favorable quality evaluations, contrary to what much of sociological and management theory would predict. Comparing thousands of reader reviews on Goodreads.com of 64 English-language books that either won or were short-listed for prestigious book awards between 2007 and 2011, we find that prizewinning books tend to attract more readers following the announcement of an award and that readers' ratings of award-winning books tend to decline more precipitously following the announcement of an award relative to books that were named as finalists but did not win. We explain this surprising result, focusing on two mechanisms whereby signals of quality that tend to promote adoption can subsequently have a negative impact on evaluation. First, we propose that the audience evaluating a high-status actor or object tends to shift as a result of a public status shock, like an award, increasing in number but also in diverse tastes. We outline how this shift might translate into less favorable evaluations of quality. Second, we show that the increase in popularity that tends to follow a status shock is off-putting to some, also resulting in more negative evaluations. We show that our proposed mechanisms together explain the negative effect of status on evaluations in the context of the literary world. © The Author(s) 2014."
"JingWen E.M.; Yap B.; Fu S.","Improving of user trust in machine learning recommender-based business applications through UI design: A case study","2018","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050471713&doi=10.1007%2f978-3-319-91716-0_56&partnerID=40&md5=d87781622cc5911db5244704d79a331b","Our work focuses on user trust and the impact of UI design on business professionals’ level of engagement when using Machine Learning (ML) recommender applications to accomplish their business tasks. In order to achieve the purpose, the case study is Resume Matching; a web-based application which aims to provide recommendations of the best matched talents for recruiters. Due to the nature of the service provided by Resume Matching and its target users, we need to design its UI to engage recruiters to gain trust on the automatic recommendation. Till this end, we have created an iterative and incremental process of designing and testing the UI components of Resume Matching. This paper presents our design and testing processes, our findings and a set of guidelines on Machine Learning User Trust Improvement (ML-UTI) Research Model for increasing user trust level to end users through effective UI design. © Springer International Publishing AG, part of Springer Nature 2018."
"Eleftherakis S.; Koutrika G.; Amer-Yahia S.","Optimizing Neighborhoods for Fair Top-N Recommendation","2024","UMAP 2024 - Proceedings of the 32nd ACM Conference on User Modeling, Adaptation and Personalization","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197917749&doi=10.1145%2f3627043.3659539&partnerID=40&md5=62e4f5285c3b2f409c483db750c28671","We address demographic bias in neighborhood-learning models for collaborative filtering recommendations. Despite their superior ranking performance, these methods can learn neighborhoods that inadvertently foster discriminatory patterns. Little work exists in this area, highlighting an important research gap. A notable yet solitary effort, Balanced Neighborhood Sparse LInear Method (BNSLIM) aims at balancing neighborhood influence across different demographic groups. Yet, BNSLIM is hampered by computational inefficiency, and its rigid balancing approach often impacts accuracy. In that vein, we introduce two novel algorithms. The first, an enhancement of BNSLIM, incorporates the Alternating Direction Method of Multipliers (ADMM) to optimize all similarities concurrently, greatly reducing training time. The second, Fairly Sparse Linear Regression (FSLR), induces controlled sparsity in neighborhoods to reveal correlations among different demographic groups, achieving comparable efficiency while being more accurate. Their performance is evaluated using standard exposure metrics alongside a new metric for user coverage disparities. Our experiments cover various applications, including a novel exploration of bias in course recommendations by teachers' country development status. Our results show the effectiveness of our algorithms in imposing fairness compared to BNSLIM and other well-known fairness approaches. © 2024 Owner/Author."
"Lv X.; Fang K.; Liu T.","Content-Aware Few-Shot Meta-Learning for Cold-Start Recommendation on Portable Sensing Devices","2024","Sensors","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203877177&doi=10.3390%2fs24175510&partnerID=40&md5=6f1772cc67e251275b0280596d0a1f24","The cold-start problem in sequence recommendations presents a critical and challenging issue for portable sensing devices. Existing content-aware approaches often struggle to effectively distinguish the relative importance of content features and typically lack generalizability when processing new data. To address these limitations, we propose a content-aware few-shot meta-learning (CFSM) model to enhance the accuracy of cold-start sequence recommendations. Our model incorporates a double-tower network (DT-Net) that learns user and item representations through a meta-encoder and a mutual attention encoder, effectively mitigating the impact of noisy data on auxiliary information. By framing the cold-start problem as few-shot meta-learning, we employ a model-agnostic meta-optimization strategy to train the model across a variety of tasks during the meta-learning phase. Extensive experiments conducted on three real-world datasets—ShortVideos, MovieLens, and Book-Crossing—demonstrate the superiority of our model in cold-start recommendation scenarios. Compared to MetaCs-DNN, the second-best approach, CFSM, achieves improvements of 1.55%, 1.34%, and 2.42% under the AUC metric on the three datasets, respectively. © 2024 by the authors."
"Jing W.; Sangaiah A.K.; Wei L.; Shaopeng L.; Lei L.; Ruishi L.","Multi-view fusion for recommendation with attentive deep neural network","2022","Evolutionary Intelligence","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107781275&doi=10.1007%2fs12065-021-00626-6&partnerID=40&md5=ca66b06d3b0040a51bb04af4fe9169e9","Recommendation systems have been widely developed and introduced in numerous applications. However, due to the lack of sufficient user feedback data, the recommendation performance of such systems is often affected by data sparsity. To address this problem, a multi-view fusion recommendation algorithm with an attentive deep neural network is proposed. A two-stage joint learning solution is designed in the proposed model, which combines user attributes, item attributes, and user-item interaction information into a unified framework. The convolutional neural network and attention mechanism are applied to improve effect of extracting features from user and item attributes. The extended deep neural network model based on matrix factorization and multiple-layer perception is used to enhance the feature extraction of user and item interaction information. Experimental results on the MovieLens-1 M and Book-Crossing real datasets show that the proposed algorithm can achieve the best recommendation accuracy compared with other classical recommendation algorithms, even with extremely sparse data. © 2021, The Author(s), under exclusive licence to Springer-Verlag GmbH Germany, part of Springer Nature."
"Dokoupil P.; Peska L.","EasyStudy: Framework for Easy Deployment of User Studies on Recommender Systems","2023","Proceedings  of the 17th ACM Conference on Recommender Systems, RecSys 2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174542022&doi=10.1145%2f3604915.3610640&partnerID=40&md5=b69926ade0a9105f3c5e3d9f66ab91f7","Improvements in the recommender systems (RS) domain are not possible without a thorough way to evaluate and compare newly proposed approaches. User studies represent a viable alternative to online and offline evaluation schemes, but despite their numerous benefits, they are only rarely used. One of the main reasons behind this fact is that preparing a user study from scratch involves a lot of extra work on top of a simple algorithm proposal. To simplify this task, we propose EasyStudy, a modular framework built on the credo ""Make simple things fast and hard things possible"". It features ready-to-use datasets, preference elicitation methods, incrementally tuned baseline algorithms, study flow plugins, and evaluation metrics. As a result, a simple study comparing several RS can be deployed with just a few clicks, while more complex study designs can still benefit from a range of reusable components, such as preference elicitation. Overall, EasyStudy dramatically decreases the gap between the laboriousness of offline evaluation vs. user studies and, therefore, may contribute towards the more reliable and insightful user-centric evaluation of next-generation RS. The project repository is available from https://bit.ly/easy-study-repo. © 2023 Owner/Author."
"Wan S.; Wu Y.; Liu Y.; Xiao L.; Guo M.","A Recommendation Approach Based on Heterogeneous Network and Dynamic Knowledge Graph","2024","International Journal of Intelligent Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182401327&doi=10.1155%2f2024%2f4169402&partnerID=40&md5=b867c3a91b0077facde75d93387f5233","Besides data sparsity and cold start, recommender systems often face the problems of selection bias and exposure bias. These problems influence the accuracy of recommendations and easily lead to overrecommendations. This paper proposes a recommendation approach based on heterogeneous network and dynamic knowledge graph (HN-DKG). The main steps include (1) determining the implicit preferences of users according to user's cross-domain and cross-platform behaviors to form multimodal nodes and then building a heterogeneous knowledge graph; (2) Applying an improved multihead attention mechanism of the graph attention network (GAT) to realize the relationship enhancement of multimodal nodes and constructing a dynamic knowledge graph; and (3) Leveraging RippleNet to discover user's layered potential interests and rating candidate items. In which, some mechanisms, such as user seed clusters, propagation blocking, and random seed mechanisms, are designed to obtain more accurate and diverse recommendations. In this paper, the public datasets are used to evaluate the performance of algorithms, and the experimental results show that the proposed method has good performance in the effectiveness and diversity of recommendations. On the MovieLens-1M dataset, the proposed model is 18%, 9%, and 2% higher than KGAT on F1, NDCG@10, and AUC and 20%, 2%, and 0.9% higher than RippleNet, respectively. On the Amazon Book dataset, the proposed model is 12%, 3%, and 2.5% higher than NFM on F1, NDCG@10, and AUC and 0.8%, 2.3%, and 0.35% higher than RippleNet, respectively.  © 2024 Shanshan Wan et al."
"Ahuja H.; Narang S.; Kaur S.; Saxena R.","Entropy for item inclination in sub-community based recommender system","2022","International Journal of Advanced Technology and Engineering Exploration","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137234113&doi=10.19101%2fIJATEE.2021.875768&partnerID=40&md5=c66916aaf2adfa8f5f30a0c7e46530ca","To overcome the new user cold-start problems in collaborative filtering, the authors have proposed an innovative framework that used entropy for item inclination in sub-community-based recommender system (EISR). It administered demographic filtering on user and item attributes for finding similar users and applied collaborative filtering on rating preferences. The proposed framework leveraged the advantages of traditional group aggregation strategies for delivering good quality recommendations using item preferences of the members of a refined group detected using two-tier approach. At Tier-I, user communities were detected using demographic attributes, which were decomposed into discernible sub-communities by exploiting the item preferences of users. A novel entropy-based hybrid group aggregation method called pragmatic propensity was used to combine the item preferences of members of these sub-communities. Also, experiments conducted using the Movielens and Book-crossing datasets revealed the better quality of recommendations and the comparison with other algorithms confirmed the effectiveness of the proposed framework. © 2022 Harita Ahuja et al."
