Database,Relevant,Title,Authors,Venue,Year,Abstract,Link
Google,No,Artificial intelligence algorithms for collaborative book recommender systems,"['C Tegetmeier', 'A Johannssen', 'N Chukhrova']",Annals of Data Science,2023.0,"recommender systems [26]. We investigate a subset consisting of 42,137 explicit ratings of  the Book-Crossing  approach is to also include the bias of a book \(b_i\), the bias of a user \(",https://link.springer.com/article/10.1007/s40745-023-00474-4
Google,No,"A study on accuracy, miscalibration, and popularity bias in recommendations","['D Kowald', 'G Mayr', 'M Schedl', 'E Lex']",… Workshop on Algorithmic Bias in …,2023.0,We extend three well-known datasets from the field of recommender systems with genre  information to  We do not use the BookCrossing dataset due to the lack of genre information.,https://link.springer.com/chapter/10.1007/978-3-031-37249-0_1
Google,No,Hybrid book recommendation system,"['MA Vaidya', 'S Shinde']",International Research Journal of …,2019.0,"Recommender systems typically produce recommendations  In the process, we end up with  another set of bias terms, this  on a small section of book crossing dataset consisting of 675",https://www.academia.edu/download/60023644/BookRec_Paper_V.0420190716-22246-nmhu22.pdf
Google,No,A method for evaluating the navigability of recommendation algorithms,"['D Lamprecht', 'M Strohmaier', 'D Helic']",… of the 5th International Workshop on …,2017.0,", and may lead to a bias towards popular items [8] or a filter  simulate navigation in  recommender systems and measures  the same way as for the BookCrossing dataset, resulting in",https://link.springer.com/chapter/10.1007/978-3-319-50901-3_20
Google,Yes,Pyrorank: A Novel Nature-Inspired Algorithm to Promote Diversity in Recommender Systems,"['D Kilitcioglu', 'N Greenquist', 'A Bari']",International Conference on Swarm …,2023.0,"We explain why diversity is essential in recommender  the systemic bias that traditional  recommender system models  for the Goodbooks-10k, MovieLens-20M, and Goodreads-105M",https://link.springer.com/chapter/10.1007/978-3-031-36625-3_12?c=ricarthlima?c=ricarthlima
Google,No,Knowledge Graph Embeddings for Recommender Systems,['E Palumbo'],,2020.0,"In LibraryThing, the popularity bias is weaker and the feedback is more evenly distributed  among the items. These considerations are consistent with the values of entropy reported in",https://www.eurecom.fr/publication/6242/download/data-publi-6242.pdf
Google,No,Recurrent recommendation with local coherence,"['J Wang', 'J Caverlee']",Proceedings of the Twelfth ACM International …,2019.0,"Through experiments on Goodreads and Amazon, we find  time-dependent latent factors and  bias for both users and items (RMSE) to evaluate our recommender, which is widely used in",https://dl.acm.org/doi/abs/10.1145/3289600.3291024
Google,No,Predicting personality from book preferences with user-generated content labels,"['N Annalyn', 'MW Bos', 'L Sigal', 'B Li']",IEEE Transactions on …,2018.0,"With permission from Goodreads, we crawled their site for  open, possibly suggesting a bias  in the dataset toward texts on  similarity measure for a collaborative recommender system,” in",https://ieeexplore.ieee.org/abstract/document/8301566/
Google,No,A deep learning-based hybrid model for recommendation generation and ranking,"['N Sivaramakrishnan', 'V Subramaniyaswamy']",Neural Computing and …,2021.0,the performance of the recommender model. Various studies  methodologies over Amazon-b  and Book-Crossing datasets.  The summation is calculated together with bias value. The,https://link.springer.com/article/10.1007/s00521-020-04844-4
Google,No,Prince: Provider-side interpretability with counterfactual explanations in recommender systems,"['A Ghazimatin', 'O Balalau', 'R Saha Roy']",Proceedings of the 13th …,2020.0,"the Goodreads collection with social links (users following users) that we crawled from the  Goodreads  a path), we evaluated each method separately to avoid presentation bias. For the",https://dl.acm.org/doi/abs/10.1145/3336191.3371824
Google,No,Privacy in Recommender Systems: Can Recommendations Reveal Your Location?,['M Finjord'],,2021.0,"smaller size difference between training and test set, and therefore results in less bias.   The second dataset chosen for this project is the BookCrossing dataset[71]. BookCrossing3",https://ntnuopen.ntnu.no/ntnu-xmlui/handle/11250/2834979
Google,No,"Connecting the dots: Reader ratings, bibliographic data, and machine-learning algorithms for monograph selection","['J Xiao', 'W Gao']",The Serials Librarian,2020.0,"By leveraging data from Goodreads, the world’s largest site for readers and book  recommendations, this project builds a simple recommender system that produces New York Times",https://www.tandfonline.com/doi/abs/10.1080/0361526X.2020.1707599
Google,No,Flatter is better: percentile transformations for recommender systems,"['M Mansoury', 'R Burke', 'B Mobasher']",ACM Transactions on Intelligent …,2021.0,"calculation of BookCrossing dataset  recommender systems: the problem of user rating  bias, due to variation in rating behavior, and the problem of right-skew, due to the selection bias",https://dl.acm.org/doi/abs/10.1145/3437910
Google,No,Building and evaluating recommender systems,['H Le'],,2019.0,"In this thesis, the goodbooks-10k dataset serves as the focus of a study on recommender   It is unclear whether this bias is beneficial or detrimental, but it was expected that the novelty",https://www.theseus.fi/handle/10024/173892
Google,Yes,"On the consistency, discriminative power and robustness of sampled metrics in offline top-n recommender system evaluation","['Y Liu', 'A Medlar', 'D Glowacka']",… 17th ACM Conference on Recommender …,2023.0,"Furthermore, we investigate the impact of sparsity bias and popularity bias on the  , while  in Amazon-Books, 1,128 model pairs were obtained for tie analysis. 3) Sparsity bias: we varied",https://dl.acm.org/doi/abs/10.1145/3604915.3610651
Google,No,A hierarchical self-attentive model for recommending user-generated item lists,"['Y He', 'J Wang', 'W Niu', 'J Caverlee']",Proceedings of the 28th ACM …,2019.0,"an example of several lists on Goodreads, a book sharing  Early recommender systems  mainly focused on rating  d×d is the weight matrix, bI ∈ R d is the bias vector, uI ∈ R d is the",https://dl.acm.org/doi/abs/10.1145/3357384.3358030
Google,No,A Recent Trends in eBooks Recommender Systems: A Comparative Survey,"['AMS Saleh', 'AY Taqa']",Iraqi Journal of Science,2024.0,"The researchers drew on a Goodreads dataset and user data to create these recommender   However, because of the ineffective search process for K values, the bias issue for K, and",https://www.iasj.net/iasj/download/a4002f4a2e75f311
Google,No,Recommender systems for scientific and technical information providers,['AW Neumann'],,2008.0,", eg the type of the recommender system, several problems like bias or free riding might occur.   shows the output of LibraryThing most likely differs from the LibraryThing contributor base.",https://core.ac.uk/download/pdf/197561053.pdf
Google,Yes,Provider Fairness and Beyond-Accuracy Trade-offs in Recommender Systems,"['S Karimi', 'HA Rahmani', 'M Naghiaei', 'L Safari']",arXiv preprint arXiv …,2023.0,factors to consider while evaluating a recommender system’s  of recommender systems  and the proposed provider bias  baselines on Epinion and BookCrossing datasets. The,https://arxiv.org/abs/2309.04250
Google,No,Ethics in AI: Collaborative filtering based approach to alleviate strong user biases and prejudices,"['S Sahu', 'SK Singh']",2019 Twelfth International Conference on …,2019.0,"For example, Amazon books use  in recommender systems and increase the diversity of  recommendations at the individual user level to prevent heavy reinforcement of users’ bias and",https://ieeexplore.ieee.org/abstract/document/8844875/
Google,No,A comparative analysis of bias amplification in graph neural network approaches for recommender systems,"['N Chizari', 'N Shoeibi', 'MN Moreno-García']",Electronics,2022.0,"a recommender system, here, we provide different definitions of bias at different levels  such as the statistical meaning of bias and  and book-crossing. In this research, a model-agnostic",https://www.mdpi.com/2079-9292/11/20/3301
Google,No,Switching Hybrid Model For Personalized Recommendations By Combining Users Demographic Information,"['R CK', 'KC Srikantaiah']",Journal of Theoretical and Applied Information …,2022.0,"cosine to adjust for user-bias for item-based approach.  based Recommender System: This  type of recommender  Further as an enhancement, we have used GoodReads 10K dataset it",http://www.jatit.org/volumes/Vol100No3/20Vol100No3.pdf
Google,No,Strategies for Improving Collaborative Filtering Library Circulation Services Based on AR Technology Under the Perspective of Five Education Initiatives,['Z Wang'],International Conference on Artificial Intelligence and …,2023.0,"Experiments on Movielens and BookCrossing datasets show that  On the BookCrossing  dataset, the study also compares the HR  better recommendations for the recommender system.",https://link.springer.com/chapter/10.1007/978-981-99-6956-2_17
Google,No,A Matrix Factorization Approach for User Rating Prediction in Book Recommender System,"['K Davagdorj', 'D Li', 'KH Park', 'KH Ryu']",,,"Our retrieved Book Crossing dataset included three attributes named by “user ID”, “item ID”  and “item ratings given by user”, without missing value. We set the “item ratings given by user",https://www.researchgate.net/profile/Khishigsuren-Davagdorj/publication/340350738_A_Matrix_Factorization_Approach_for_User_Rating_Prediction_in_Book_Recommender_System/links/5ebb74ce458515626ca56a13/A-Matrix-Factorization-Approach-for-User-Rating-Prediction-in-Book-Recommender-System.pdf
Google,Νο,A book recommender system using collaborative filtering method,"['S Khalifeh', 'A A. Al-Mousa']","International Conference on Data Science, E …",2021.0,The reviews were collected from GoodReads.com website in 2016.  bias bu and the factors  pu are considered to be with value zero. The same applies to anonymous items with the bias,https://dl.acm.org/doi/abs/10.1145/3460620.3460744
Google,No,Which of the book recommendation sections is the most similar to the user selections in LibraryThing?,"['A Momeni', 'M Pashootanizadeh']","… Knowledge, Memory and …",2023.0,"Besides, the degree of similarity in LibraryThing recommendations section according to this  criterion  Based on the findings of this study, the LibraryThing recommendations section has",https://www.emerald.com/insight/content/doi/10.1108/GKMC-06-2022-0137/full/html
Google,No,Content-based recommender system for similar products in E-commerce,"['A Chandra', 'A Ahmed', 'S Kumar', 'P Chand']",Edge Analytics: Select …,2022.0,"So, this work is about the development of a recommender  using book data set, namely  BookCrossing.csv and movie review  TF-IDF-based recommender system using CountVectorizer",https://link.springer.com/chapter/10.1007/978-981-19-0019-8_46
Google,No,Item recommendation by combining relative and absolute feedback data,"['S Kalloori', 'T Li', 'F Ricci']",Proceedings of the 42nd International ACM …,2019.0,", ratings, are widely exploited in Recommender Systems (RSs).  where bi denote the item i  bias and pu , qi are d-dimensional  For BookCrossing, which is not time-stamped, we randomly",https://dl.acm.org/doi/abs/10.1145/3331184.3331295
Google,Yes,Toward Bias-Agnostic Recommender Systems: A Universal Generative Framework,"['Z Wang', 'L Zou', 'C Li', 'S Wang', 'X Chen', 'D Yin']",ACM Transactions on …,2024.0,"Performance comparison between our model and the baselines accounting for the  popularity bias on ML-1M and Book-Crossing datasets, where we use bold font to label the best",https://dl.acm.org/doi/abs/10.1145/3655617
Google,No,New recommender system evaluation approaches based on user selections factor,"['M Kshour', 'M Ebrahimi', 'S Goliaee', 'R Tawil']",Heliyon,2021.0,"Currently, due to the increasing importance of recommender systems (RSs), especially in  the fields of social networking and e-commerce, these systems represent one of the most",https://www.cell.com/heliyon/fulltext/S2405-8440(21)01500-0
Google,Yes,What recommenders recommend,"['D Jannach', 'L Lerche', 'I Kamehkhosh']",An analysis of …,,"Most real-world recommender systems are  , indicate that the concentration bias of  some algorithms can lead  On the very small datasets like BookCrossing, MobileGames and",https://web-ainf.aau.at/pub/jannach/files/JOURNAL_UMUAI_2015.pdf
Google,Yes,Improving recommendation lists through topic diversification,"['CN Ziegler', 'SM McNee', 'JA Konstan']",Proceedings of the 14th …,2005.0,Our work builds upon prior research on recommender sys we gathered from BookCrossing  (http://www.bookcrossing.com order to conceal our intentions and not bias users. The one top-,https://dl.acm.org/doi/abs/10.1145/1060745.1060754
Google,No,Book recommender system using singular value decomposition combined with slope one algorithm,['ZKA Baizal'],2022 10th International Conference on …,2022.0,to a book recommender system using a rating dataset from the Goodreads web. The   The case in which some items tend to be rated higher than others is defined as item bias bi.,https://ieeexplore.ieee.org/abstract/document/9914884/
Google,No,Active learning in multi-domain collaborative filtering recommender systems,"['X Guan', 'CT Li', 'Y Guan']",Proceedings of the 33rd Annual ACM …,2018.0,"recommender system (Net ix + Movielens + Book-Crossing) varies with rating elicitations  keeping acquired from Movielens, Net ix, Book-Crossing,  bias that deteriorates the cluster-level",https://dl.acm.org/doi/abs/10.1145/3167132.3167277
Google,Yes,Reconsidering learning objectives in unbiased recommendation: A distribution shift perspective,"['T Xiao', 'Z Chen', 'S Wang']",Proceedings of the 29th ACM SIGKDD …,2023.0,"bias. For example, users are more likely to interact with popular items than tail items, and  recommender  on the Goodreads dataset, which exhibits both selection bias and unobserved",https://dl.acm.org/doi/abs/10.1145/3580305.3599487
Google,No,"Exploiting the long tail recommending less of more, Nearest Neighbors Matrix Factorization","['G GABBOLINI', ""E D'AMICO""]",,2019.0,"MF algorithms, like the bias towards the popular items and  6.1 Evaluation of the algorithms  in the dataset BookCrossing with  As a proof of the importance of Recommender Systems, we",https://www.politesi.polimi.it/handle/10589/152210
Google,No,Prediction Model of Book Popularity from Goodreads “To Read” and “Worst” Books,"['RA Wijaya', 'S Staniswinata', 'M Clarin']",… Conference on ICT …,2023.0,"We organically scraped our data set from Goodreads, the current largest online book  community. We utilized different machine-learning techniques on our data developed to compare",https://ieeexplore.ieee.org/abstract/document/10291619/
Google,Yes,"Blockbusters and wallflowers: Accurate, diverse, and scalable recommendations with random walks","['F Christoffel', 'B Paudel', 'C Newell']",… on Recommender …,2015.0,This has also led to the concern that recommender systems  accuracy of recommender  systems can lead to a bias towards  accurate recommender for the iPlayer and BookCrossing,https://dl.acm.org/doi/abs/10.1145/2792838.2800180
Google,Yes,Crank up the volume: preference bias amplification in collaborative recommendation,"['K Lin', 'N Sonboli', 'B Mobasher', 'R Burke']",arXiv preprint arXiv:1909.06362,2019.0,gender distribution in user profiles in the BookCrossing dataset (BX) and has  recommender  as a baseline as this algorithm would be expected to maximally amplify the popularity bias in,https://arxiv.org/abs/1909.06362
