Title,Relevant,Notes,Authors,Link,Abstract,Venue,Year
Graph-Based Embedding Smoothing for Sequential Recommendation,No,,"['Tianyu Zhu', 'Leilei Sun', 'Guoqing Chen']",10.1109/TKDE.2021.3073411,"In real-world scenarios, a user's interactions with items could be formalized as a behavior sequence, indicating his/her dynamic and evolutionary preferences. To this end, a series of recent efforts in recommender systems aim at improving recommendation performance by considering the sequential information. However, impacts of sequential behavior on future interactions may vary greatly in different scenarios. Additionally, semantic item relations underlying item attributes have not been well exploited in sequential recommendation models, which could be crucial for measuring item similarities in recommendation. To deal with the above problems, this paper provides a general embedding smoothing framework for sequential recommendation models. Specifically, we first construct a hybrid item graph by fusing sequential item relations derived from user-item interactions with semantic item relations built upon item attributes. Second, we perform graph convolutions on the hybrid item graph to generate smoothed item embeddings. Finally, we equip sequential recommendation models with the smoothed item representations to enhance their performances. Experimental results demonstrate that with our embedding smoothing framework, the state-of-the-art sequential recommendation model, SASRec, achieves superior performance to most baseline methods on three real-world datasets. Moreover, the results show that most mainstream sequential recommendation models could benefit from our framework.",IEEE Transactions on Knowledge and Data Engineering,2023
Reinforcement Learning Based Path Exploration for Sequential Explainable Recommendation,No,,"['Yicong Li', 'Hongxu Chen', 'Yile Li', 'Lin Li', 'Philip Yu', 'Guandong Xu']",10.1109/TKDE.2023.3237741,"Recent advances in path-based explainable recommendation systems have attracted increasing attention thanks to the rich information from knowledge graphs. Most existing explainable recommendations only utilize static knowledge graphs and ignore the dynamic user-item evolutions, leading to less convincing and inaccurate explanations. Although some works boost the performance and explainability of recommendations through modeling the user's temporal sequential behavior, most of them either only focus on modeling the user's sequential interactions within a path or independently and separately of the recommendation mechanism. Moreover, some path-based explainable recommendations use random selection or traditional machine learning methods to decrease the volume of explainable paths, which cannot guarantee high quality of the explainable paths for the recommendation. To deal with the problem, recent path exploration use reinforcement learning to improve diversity and quality. However, unsupervised training leads to low-efficiency path exploration. Therefore, we propose a novel Temporal Meta-path Guided Explainable Recommendation leveraging Reinforcement Learning (TMER-RL), which utilizes supervised reinforcement learning to explore item-item paths between consecutive items with attention mechanisms to sequentially model dynamic user-item evolutions on a dynamic knowledge graph for the explainable recommendation. Extensive evaluations of TMER-RL on two real-world datasets show state-of-the-art performance compared to recent strong baselines.",IEEE Transactions on Knowledge and Data Engineering,2023
Sylvester Equation Induced Collaborative Representation Learning for Recommendation,No,,"['Xingyuan Li', 'Zhenfeng Zhu', 'Shuai Zheng', 'Zhizhe Liu', 'Youru Li', 'Xiaobo Guo', 'Deqiang Kong', 'Yao Zhao']",10.1109/TKDE.2022.3217090,"For an actual recommendation system, it generally involves a variety of heterogeneous interactive relationships, such as the typical user-user (U2U), item-item (I2I), and user-item (U2I) interaction relationships. With the application of graph neural networks (GNNs) in embedding various interactive relations, recommendation technology has made gratifying progress in recent years, which benefits lot from its powerful ability in relation modeling. However, most of the existing GNN-based methods fail to collaboratively explore the above heterogeneous multiple interactive relationships, including the internal correlations among multiple relationships and the intrinsic association behind different relationships. As a consequence, the user's personalized preference for the items to be recommended will not be well captured. In this paper, we propose a Sylvester equation induced Collaborative Representation Learning framework (S-CRL) for recommendation system by utilizing the heterogeneous multiple interactive relationships. In particular, we ingeniously define a novel Sylvester equation to associate tactfully the multiple heterogeneous relations together. From the perspective of rating propagation, such Sylvester equation is shown theoretically to be the optimal solution of a local structure sensitive rating propagation function. Additionally, to seek more expressive embeddings about user and item, a layer-wise attention is introduced to aggregate the multi-hop information from U2U and I2I graphs, respectively, so as to promote the aggregation with the corresponding embeddings from the U2I interaction graph. Extensive experiments on three real-world datasets verify that our model achieves more favorable performance over currently representative methods.",IEEE Transactions on Knowledge and Data Engineering,2023
Training Recommenders Over Large Item Corpus With Importance Sampling,No,,"['Defu Lian', 'Zhenguo Gao', 'Xia Song', 'Yucheng Li', 'Qi Liu', 'Enhong Chen']",10.1109/TKDE.2023.3344657,"By predicting a personalized ranking on a set of items, item recommendation helps users determine the information they need. While optimizing a ranking-focused loss is more in line with the objectives of item recommendation, previous studies have indicated that current sampling-based ranking methods don't always surpass non-sampling ones. This is because it is either inefficient to sample a pool of representative negatives for better generalization or challenging to gauge their contributions to ranking-focused losses accurately. To this end, we propose a novel weighted ranking loss, which weights each negative with the softmax probability based on model's predictive score. Our theoretical analysis suggests that optimizing this loss boosts the normalized discounted cumulative gain. Furthermore, it appears that this loss acts as an approximate analytic solution for adversarial training of personalized ranking. To improve optimization efficiency, we approximate the weighted ranking loss with self-normalized importance sampling and show that the loss has good generalization properties. To improve generalization, we further develop efficient cluster-based negative samplers based on clustering over item vectors, to decrease approximation error caused by the divergence between the proposal and the target distribution. Comprehensive evaluations on real-world datasets show that our methods remarkably outperform leading item recommendation algorithms.",IEEE Transactions on Knowledge and Data Engineering,2023
SamWalker++: Recommendation With Informative Sampling Strategy,No,,"['Can Wang', 'Jiawei Chen', 'Sheng Zhou', 'Qihao Shi', 'Yan Feng', 'Chun Chen']",10.1109/TKDE.2021.3102080,"Recommendation from implicit feedback is a highly challenging task due to the lack of reliable negative feedback data. Existing methods address this challenge by treating all the un-observed data as negative (dislike) but downweight the confidence of these data. However, this treatment causes two problems: (1) Confidence weights of the unobserved data are usually assigned manually, which lack flexibility and may create empirical bias on evaluating user's preference. (2) To handle massive volume of the unobserved feedback data, most of the existing methods rely on stochastic inference and data sampling strategies. However, since a user is only aware of a very small fraction of items in a large dataset, it is difficult for existing samplers to select informative training instances in which the user really dislikes the item rather than does not know it. To address the above two problems, we propose two novel recommendation methods SamWalker and SamWalker++ that support both adaptive confidence assignment and efficient model learning. SamWalker models data confidence with a social network-aware function, which can adaptively specify different weights to different data according to users’ social contexts. However, the social network information may not be available in many recommender systems, which hinders application of SamWalker. Thus, we further propose SamWalker++, which does not require any side information and models data confidence with a constructed pseudo-social network. In the pseudo-social network, similar users are connected with specific item nodes or community nodes. This way, the inference of one's data confidence can benefit from the knowledge from other similar users. We also develop fast random-walk-based sampling strategies for our SamWalker and SamWalker++ to adaptively draw informative training instances, which can speed up gradient estimation and reduce sampling variance. Extensive experiments on five real-world datasets demonstrate the superiority of the proposed SamWalker and SamWalker++.",IEEE Transactions on Knowledge and Data Engineering,2023
Personalized Elastic Embedding Learning for On-Device Recommendation,No,,"['Ruiqi Zheng', 'Liang Qu', 'Tong Chen', 'Kai Zheng', 'Yuhui Shi', 'Hongzhi Yin']",10.1109/TKDE.2024.3361562,"To address privacy concerns and reduce network latency, there has been a recent trend of compressing cumbersome recommendation models trained on the cloud and deploying compact recommender models to resource-limited devices for the real-time recommendation. Existing solutions generally overlook device heterogeneity and user heterogeneity. They require devices with the same budget to share the same model and assume the available device resources (e.g., memory) are constant, which is not reflective of reality. Considering device and user heterogeneities as well as dynamic resource constraints, this article proposes a Personalized Elastic Embedding Learning framework (PEEL) for the on-device recommendation, which generates Personalized Elastic Embeddings (PEEs) for devices with various memory budgets in a once-for-all manner, adapting to new or dynamic budgets, and addressing user preference diversity by assigning personalized embeddings for different groups of users. Specifically, it pretrains a global embedding table with collected user-item interaction instances and clusters users into groups. Then, it refines the embedding tables with local interaction instances within each group. PEEs are generated from the group-wise embedding blocks and their weights that indicate the contribution of each embedding block to the local recommendation performance. Given a memory budget, PEEL efficiently generates PEEs by selecting embedding blocks with the largest weights, making it adaptable to dynamic memory budgets on devices. Furthermore, a diversity-driven regularizer is implemented to encourage the expressiveness of embedding blocks, and a controller is utilized to optimize the weights. Extensive experiments are conducted on two public datasets, and the results show that PEEL yields superior performance on devices with heterogeneous and dynamic memory budgets.",IEEE Transactions on Knowledge and Data Engineering,2024
Task Trail: An Effective Segmentation of User Search Behavior,No,,"['Zhen Liao', 'Yang Song', 'Yalou Huang', 'Li-wei He', 'Qi He']",10.1109/TKDE.2014.2316794,"In this paper, we introduce “task trail” to understand user search behaviors. We define a task to be an atomic user information need, whereas a task trail represents all user activities within that particular task, such as query reformulations, URL clicks. Previously, web search logs have been studied mainly at session or query level where users may submit several queries within one task and handle several tasks within one session. Although previous studies have addressed the problem of task identification, little is known about the advantage of using task over session or query for search applications. In this paper, we conduct extensive analyses and comparisons to evaluate the effectiveness of task trails in several search applications: determining user satisfaction, predicting user search interests, and suggesting related queries. Experiments on large scale data sets of a commercial search engine show that: (1) Task trail performs better than session and query trails in determining user satisfaction; (2) Task trail increases webpage utilities of end users comparing to session and query trails; (3) Task trails are comparable to query trails but more sensitive than session trails in measuring different ranking functions; (4) Query terms from the same task are more topically consistent to each other than query terms from different tasks; (5) Query suggestion based on task trail is a good complement of query suggestions based on session trail and click-through bipartite. The findings in this paper verify the need of extracting task trails from web search logs and enhance applications in search and recommendation systems.",IEEE Transactions on Knowledge and Data Engineering,2014
Beyond Similarity: Relation-Based Collaborative Filtering,No,,"['Guannan Liu', 'Liang Zhang', 'Junjie Wu']",10.1109/TKDE.2021.3099217,"Given the effectiveness and ease of use, Item-based Collaborative Filtering (ICF) methods have been broadly used in industry and are widely investigated in recent years. The key of ICF lies in the similarity measurement between items, which however is a coarse-grained numerical value that can hardly capture users’ fine-grained preferences toward different attributed aspects of items. In this paper, we propose a model called REDA (Relation Embedding with Dual Attentions) to address this challenge, based on which a new paradigm called Relation-based Collaborative Filtering is designed for high-performance recommendation. REDA is essentially a deep neural network model that employs an item relation embedding scheme for inter-item relations representation. It features in multi-decomposed item embedding with dual-attention refinement and employs a novel relation-wise optimization scheme for end-to-end learning. A relational user embedding is then proposed by aggregating item relation embeddings between all purchased items of a user, which not only profiles users’ fine-grained preferences but also alleviates the data sparsity problem. Extensive experiments are conducted on six real-world datasets and the proposed REDA is shown to outperform ten state-of-the-art methods. In particular, REDA shows great robustness against data and relation sparsity, the ability to learn explainable item aspects, and the potential for large-scale recommendation.",IEEE Transactions on Knowledge and Data Engineering,2023
$\mathop {\mathtt {HAM}}$HAM: Hybrid Associations Models for Sequential Recommendation,No,,"['Bo Peng', 'Zhiyun Ren', 'Srinivasan Parthasarathy', 'Xia Ning']",10.1109/TKDE.2021.3049692,"Sequential recommendation aims to identify and recommend the next few items for a user that the user is most likely to purchase/review, given the user's purchase/rating trajectories. It becomes an effective tool to help users select favorite items from a variety of options. In this manuscript, we developed hybrid associations models ($\mathop {\mathtt {HAM}}\limits$HAM) to generate sequential recommendations using three factors: 1) users’ long-term preferences, 2) sequential, high-order and low-order association patterns in the users’ most recent purchases/ratings, and 3) synergies among those items. $\mathop {\mathtt {HAM}}\limits$HAM uses simplistic pooling to represent a set of items in the associations, and element-wise product to represent item synergies of arbitrary orders. We compared $\mathop {\mathtt {HAM}}\limits$HAM models with the most recent, state-of-the-art methods on six public benchmark datasets in three different experimental settings. Our experimental results demonstrate that $\mathop {\mathtt {HAM}}\limits$HAM models significantly outperform the state of the art in all the experimental settings. with an improvement as much as 46.6 percent. In addition, our run-time performance comparison in testing demonstrates that $\mathop {\mathtt {HAM}}\limits$HAM models are much more efficient than the state-of-the-art methods. and are able to achieve significant speedup as much as 139.7 folds.",IEEE Transactions on Knowledge and Data Engineering,2022
Harnessing Folksonomies to Produce a Social Classification of Resources,No,,"['Arkaitz Zubiaga', 'Víctor Fresno', 'Raquel Martínez', 'Alberto García-Plaza']",10.1109/TKDE.2012.115,"In our daily lives, organizing resources like books or webpages into a set of categories to ease future access is a common task. The usual largeness of these collections requires a vast endeavor and an outrageous expense to organize manually. As an approach to effectively produce an automated classification of resources, we consider the immense amounts of annotations provided by users on social tagging systems in the form of bookmarks. In this paper, we deal with the utilization of these user-provided tags to perform a social classification of resources. For this purpose, we have created three large-scale social tagging data sets including tagging data for different types of resources, webpages and books. Those resources are accompanied by categorization data from sound expert-driven taxonomies. We analyze the characteristics of the three social tagging systems and perform an analysis on the usefulness of social tags to perform a social classification of resources that resembles the classification by experts as much as possible. We analyze six different representations using tags and compare to other data sources by using three different settings of SVM classifiers. Finally, we explore combinations of different data sources with tags using classifier committees to best classify the resources.",IEEE Transactions on Knowledge and Data Engineering,2013
Large Language Models on Graphs: A Comprehensive Survey,No,,"['Bowen Jin', 'Gang Liu', 'Chi Han', 'Meng Jiang', 'Heng Ji', 'Jiawei Han']",10.1109/TKDE.2024.3469578,"Large language models (LLMs), such as GPT4 and LLaMA, are creating significant advancements in natural language processing, due to their strong text encoding/decoding ability and newly found emergent capability (e.g., reasoning). While LLMs are mainly designed to process pure texts, there are many real-world scenarios where text data is associated with rich structure information in the form of graphs (e.g., academic networks, and e-commerce networks) or scenarios where graph data is paired with rich textual information (e.g., molecules with descriptions). Besides, although LLMs have shown their pure text-based reasoning ability, it is underexplored whether such ability can be generalized to graphs (i.e., graph-based reasoning). In this paper, we provide a systematic review of scenarios and techniques related to large language models on graphs. We first summarize potential scenarios of adopting LLMs on graphs into three categories, namely pure graphs, text-attributed graphs, and text-paired graphs. We then discuss detailed techniques for utilizing LLMs on graphs, including LLM as Predictor, LLM as Encoder, and LLM as Aligner, and compare the advantages and disadvantages of different schools of models. Furthermore, we discuss the real-world applications of such methods and summarize open-source codes and benchmark datasets. Finally, we conclude with potential future research directions in this fast-growing field. The related source can be found at https://github.com/PeterGriffinJin/Awesome-Language-Model-on-Graphs.",IEEE Transactions on Knowledge and Data Engineering,2024
