Database,Relevant from Title/Abstract,Title,Authors,Venue,Year,Abstract,Link
Google,No,Is AI my co-author? The ethics of using artificial intelligence in scientific publishing,"['B Moffatt', 'A Hall']",Accountability in Research,2024.0,use AI tools  the ethical issues of using new artificial intelligence products in manuscript  writing. We first consider some of the existing arguments disqualifying LLMs as scientific authors,https://www.tandfonline.com/doi/abs/10.1080/08989621.2024.2386285
Google,No,A pattern-based academic reviewer recommendation combining author-paper and diversity metrics,"['MIM Ishag', 'KH Park', 'JY Lee', 'KH Ryu']",IEEE Access,2019.0,"𝑝𝑎𝑝𝑒𝑟 𝑃1 indicate that the paper 𝑃1 is co-authored by 𝐴𝑢𝑡ℎ𝑜𝑟 𝐴 and 𝐴𝑢𝑡ℎ𝑜𝑟 𝐵. In  order to recommend reviewers, this paper defines two kinds of patterns: researcher general-",https://ieeexplore.ieee.org/abstract/document/8625579/
Google,No,Gendered artificial intelligence in libraries: Opportunities to deconstruct sexism and gender binarism,['LM Brown'],Journal of Library Administration,2022.0,"libraries remain slow to adopt AI chatbots. All but one (99.38%, n = 160) of the academic  libraries  only eight (5%) of academic libraries in the sample had a chatbot integrated into their",https://www.tandfonline.com/doi/abs/10.1080/01930826.2021.2006979
Google,Yes,Actionable approaches to promote ethical AI in libraries,"['H Bubinger', 'JD Dinneen']",Proceedings of the Association for …,2021.0,"We recommend relevant staff review all kinds of bias via a broad and  also recommend  that LIS research starts to explore library-specific strategies for ensuring ethical outcomes of AI,",https://asistdl.onlinelibrary.wiley.com/doi/abs/10.1002/pra2.528
Google,No,Dealing with Popularity Bias in Recommender Systems for Third-party Libraries: How far Are We?,"['PT Nguyen', 'R Rubei', 'J Di Rocco']",2023 IEEE/ACM 20th …,2023.0,"popularity bias. – Through a quantitative study on four TPL RSSEs, we assess their sensitivity  to  bias. – We propose a practical solution to increase fairness in the recommendation lists.",https://ieeexplore.ieee.org/abstract/document/10174041/
Google,Yes,Exploring and mitigating gender bias in book recommender systems with explicit feedback,"['S Saxena', 'S Jain']",Journal of Intelligent Information Systems,2024.0,"In this paper, we address the problem of gender bias in recommender systems  gender  bias present in book rating datasets and in the recommendations produced by the recommender",https://link.springer.com/article/10.1007/s10844-023-00827-8
Google,No,"Bias, diversity, and challenges to fairness in classification and automated text analysis. From libraries to AI and back","['B Berendt', 'Ö Karadeniz', 'S Kıyak', 'S Mertens']",arXiv preprint arXiv …,2023.0,risks surrounding bias and unfairness in AI usage in classification and automated text analysis  within the context of library applications. We describe examples that show how the library,https://arxiv.org/abs/2303.07207
Google,No,Algorithmic bias and research integrity; the role of nonhuman authors in shaping scientific knowledge with respect to artificial intelligence: a perspective,"['MO Oduoye', 'B Javed', 'N Gupta']",International Journal of …,2023.0,"A basic example of one ethical principle is to treat everyone with respect 19,20 . AI ethics is   ought to operate in order to reduce the ethical problems that AI in human society may cause,",https://journals.lww.com/international-journal-of-surgery/fulltext/2023/10000/algorithmic_bias_and_research_integrity__the_role.12.aspx
Google,No,Ethnicity‐based name partitioning for author name disambiguation using supervised machine learning,"['J Kim', 'J Kim', 'J Owen‐Smith']",Journal of the Association for …,2021.0,"author names based on ethnicity prior to disambiguation.  preprocessing, blocking and  machine learning steps, this paper  by four different machine learning algorithms applied to four",https://asistdl.onlinelibrary.wiley.com/doi/abs/10.1002/asi.24459
Google,No,Research ethics and issues regarding the use of ChatGPT-like artificial intelligence platforms by authors and reviewers: a narrative review,['SJ Kim'],Science Editing,2024.0,of AI-generated content by reviewers and editors. We explored eight specific ethical problems  highlighted by authors  review of five key topics in research ethics. Given that nonacademic,http://escienceediting.org/journal/view.php?number=344
Google,No,Machine learning optimization of candidate antibody yields highly diverse sub-nanomolar affinity antibody libraries,"['L Li', 'E Gupta', 'J Spaeth', 'L Shing', 'R Jaimes']",Nature …,2023.0,"By comparing a library’s predicted success to actual measurements, we demonstrate  library  success and diversity. Results of our work highlight the significant impact machine learning",https://www.nature.com/articles/s41467-023-39022-2
Google,No,"Recommendations for the ethical guidelines for publication of scientific studies: The responsibilities of editors, reviewers and the authors","['S Akbulut', 'TT Sahin']",Annals of Medicine and Surgery,2021.0,"designated as authors should meet all four criteria for authorship '' [11]. The authors of the   , we would like to give our recommendations for authors, editors and the reviewers in order to",https://www.sciencedirect.com/science/article/pii/S2049080121009973
Google,Yes,Developing Policies for the Ethical Use of Artificial Intelligence in Higher Education and Libraries,['M Mayton'],,,"aspect of AI literacy is understanding the ethical use of AI and  , bias, and inaccuracies of  generative AI, it underscores why  ○ How transparent will libraries be about what AI tools and",https://arch.astate.edu/cgi/viewcontent.cgi?article=1002&context=lib-facpub
Google,No,Predicting author gender using machine learning algorithms: Looking beyond the binary,['K Land'],Digital Studies/Le champ numérique,2020.0,studies that use machine learning algorithms to identify the gender of the author of fictional   of dividing texts by author gender not only confirms gender stereotypes but reinforces them,https://www.digitalstudies.org/article/10.16995/dscn.362/
Google,No,AI as a co-author? We should also ask philosophical (and ethical) questions,['A Yıldız'],European Journal of Therapeutics,2023.0,"for AI’s position as an author and whether that position is acceptable. Again, should AI be   for the acceptability or position of AI as an author. Without going into deep discussions for",https://eurjther.com/index.php/home/article/view/1723
Google,No,Machine learning models of text categorization by author gender using topic-independent features,"['A Sboev', 'T Litvinova', 'D Gudovskikh', 'R Rybka']",Procedia Computer …,2016.0,the comparative study of machine learning techniques for author gender attribution in full-  removing gender bias in topics and genre using corpus with much more number of authors.,https://www.sciencedirect.com/science/article/pii/S1877050916326849
Google,No,Machine learning-guided co-optimization of fitness and diversity facilitates combinatorial library design in enzyme engineering,"['K Ding', 'M Chin', 'Y Zhao', 'W Huang', 'BK Mai']",Nature …,2024.0,"To obtain the best experience, we recommend you use a more up to date browser (or turn  off compatibility mode in Internet Explorer). In the meantime, to ensure continued support, we",https://www.nature.com/articles/s41467-024-50698-y
Google,No,Automatic gender identification of author of Russian text by machine learning and neural net algorithms in case of gender deception,"['A Sboev', 'I Moloshnikov', 'D Gudovskikh']",Procedia computer …,2018.0,"to solve an author gender identification task for Russianlanguage texts with gender  deception, using different Data-Driven models based on conventional machine learning (Support",https://www.sciencedirect.com/science/article/pii/S1877050918300656
Google,No,On the Translation Ethics Teaching for University Teachers in the Context of New Artificial Intelligence: Based on the Book Translation Ethics Research,['Y Liang'],"2023 5th International Conference on Literature, Art …",2023.0,"Generally, this book systematically sorts out ethical issues in translation from three levels:  macro (community with a  The book can be divided into three parts, totaling ten chapters [13].",https://www.atlantis-press.com/proceedings/iclahd-23/125996395
Google,No,Reviewer recommendations and editors' decisions for a conservation journal: Is it just a crapshoot? And do Chinese authors get a fair shot?,"['A Campos-Arceiz', 'RB Primack', 'LP Koh']",Biological Conservation,2015.0,"Papers with more consistent reviews (eg both reviewers recommending a major revision)   of editor bias against papers from China; however, reviewer recommendation for papers from",https://www.sciencedirect.com/science/article/pii/S0006320715000956
Google,No,Judging a Book by its Cover? Examining the Formation of Social Bias by Experiments using Artificial Intelligence Agents,"['JX Wu', 'YD Wu', 'KY Chen', 'JJ Zhang']",… using Artificial Intelligence …,2022.0,"artificial intelligence (AI) agents and train them to play the trust game in groups. We find that  AI agents in a community can develop social bias,  In particular, AI agents show significantly",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4162240
Google,No,"… Ethics of Artificial Intelligence in Education: Practices, Challenges and Debates: Abingdon, UK and New York, NY: Routledge. 312 pp. ISBN 9780429329067 (E-Book …",['H Scott'],,2024.0,"with the descriptor of Artificial Intelligence (AI) as a power tool  of grandiose hype which this  book can help readers navigate.  before AI advances, as well as who gets to demand ethical",https://link.springer.com/article/10.1007/s42438-023-00439-z
Google,No,Adventures of the good AI Švejk: How a book personage and Construction Grammar can help a machine to understand ethics,['D Kiselev'],,,"Along with these traits, the paper analyses AI ethics in real life as well as in science fiction   a list of ethical guidelines that the reader is invited to develop upon along the lines of AI and",https://hikima.net/repo/iccg11_adv.pdf
Google,No,Author Correction: Do no harm: a roadmap for responsible machine learning for health care,"['J Wiens', 'S Saria', 'M Sendak', 'M Ghassemi']",Nature …,2019.0,Author Correction: Do no harm: a roadmap for responsible machine learning for health care  Author Correction: Do no harm: a roadmap for responsible machine learning for health care,https://pubmed.ncbi.nlm.nih.gov/31537911/
Google,No,ChatGPT as Co-Author? AI and Research Ethics,['R Sharifzadeh'],Ethics in Progress,2024.0,justify the presence of non-human authors in some specific and ethically acceptable ways.   -human author’ and discuss how an artificial intelligence can be considered as a coauthor. I,https://www.ceeol.com/search/article-detail?id=1256526
Google,No,Deep Learning neural nets versus traditional machine learning in gender identification of authors of RusProfiling texts,"['A Sboev', 'I Moloshnikov', 'D Gudovskikh']",Procedia computer …,2018.0,"of gender identification of RusProfiling texts without gender  well-known conventional machine  learning algorithms, such as  in the gender identification task with the RusProfiling corpus.",https://www.sciencedirect.com/science/article/pii/S1877050918300668
Google,No,Authors should be held responsible for artificial intelligence hallucinations and mistakes in their papers,['L Giray'],Journal of the Practice of Cardiovascular Sciences,2023.0,"-generated advancements blur, the weight of author responsibility looms even larger. As  authors harness the power offered by AI, I believe that authors must remain steadfast in their",https://journals.lww.com/jpcs/_layouts/15/oaks.journals/downloadpdf.aspx?an=01881846-202309020-00015
Google,Yes,Responsible practices for responsible libraries: The role of libraries in a world of generative AI,['S SEAH'],,2023.0,"• While it may seem like AI and evaluating AI is out of our wheelhouse, we do not need to   • Consume information not only from AI companies, but from computer scientists, AI ethics",https://ink.library.smu.edu.sg/library_research/206/
Google,No,Enhanced access to recommendations from the Cochrane Handbook for improving authors' judgments about risk of bias: A randomized controlled trial,"['O Barcot', 'M Ivanda', 'I Buljan', 'D Pieper']",Research synthesis …,2021.0,"In the Cochrane Handbook, the table contains the criteria for judging the risk of bias in the   to the authors was our intervention – the enhanced access to recommendations from the",https://onlinelibrary.wiley.com/doi/abs/10.1002/jrsm.1499
Google,No,Investigating the use of machine learning algorithms in detecting gender of the arabic tweet author,"['E AlSukhni', 'Q Alequr']",International Journal of Advanced …,2016.0,"Gender detection is a sub-field of sentiment analysis for extracting and predicting the gender  of a Tweet author. In this paper, we aim to investigate the gender of Tweet authors using",https://pdfs.semanticscholar.org/5791/5d11cb0fb38f81e0ff77937e9f149bd6cf7a.pdf
Google,No,I Recommend You to Read: XI. Recent Books on Christian Ethics,['CRH Preston'],The Expository Times,1968.0,"Ethics if one judges by the number of books written within its broad fields of study. Quite  recently the chief assistant in a religious book  these days, and that the books sold well. She had",https://journals.sagepub.com/doi/abs/10.1177/001452466807900502
Google,No,Machine learning-based library design improves packaging and diversity of adeno-associated virus (AAV) libraries,"['D Zhu', 'DH Brookes', 'A Busia', 'A Carneiro', 'C Fannjiang']",bioRxiv,2021.0,effort while maintaining diversity of the library. Our overall workflow to enhance a library was  to (i)  to improving packaging and diversity of AAV libraries with machine learning. David V.,https://www.biorxiv.org/content/biorxiv/early/2021/11/04/2021.11.02.467003.1.full.pdf
Google,Yes,Depictions of diversity in books recommended for storytime: A cautionary tale,"['E Ingram', 'M Cahill']",Libri,2022.0,This study’s revelation of a significant lack of diversity in recommended books from six  the  resources they are using to select books. Professional development in this area starts with self-,https://www.degruyter.com/document/doi/10.1515/libri-2021-0126/html
Google,No,The Place of Language Model Technology in Library Instruction: Introducing Students to AI and Its Responsible and Practical Use Within the Context of Academic …,['J Cornforth'],,2024.0,"to rethink library instruction on responsible and practical use of artificial intelligence language   This unit, ""Leveraging AI for Social Justice Advocacy,” asked students to reflect, discuss,",https://digitalcommons.georgiasouthern.edu/gaintlit/2024/2024/30/
Google,Yes,Eliminating bias: enhancing children's book recommendation using a hybrid model of graph convolutional networks and neural matrix factorization,"['L Shen', 'L Jiang']",PeerJ Computer Science,2024.0,This serious user review bias (as shown in Fig. 1) severely impacts the accuracy of book  recommendation systems. We propose a new bias detection algorithm that uses directed,https://peerj.com/articles/cs-1858/
Google,No,Authors' reply to “comments on 'researcher bias: The use of machine learning in software defect prediction'”,"['M Shepperd', 'T Hall', 'D Bowes']",IEEE Transactions on Software …,2017.0,"In 2014 we published a meta-analysis of software defect prediction studies [1] . This  suggested that the most important factor in determining results was Research Group, ie, who",https://ieeexplore.ieee.org/abstract/document/7990255/
Google,No,Comparative analysis of machine learning algorithms for author age and gender identification,"['Z Zainab', 'F Al-Obeidat', 'F Moreira', 'H Gul']",… Conference on Information …,2023.0,"Thus, a very limited machine learning methodology is proposed for the author profiling in   , a few machine learning algorithms have been used to identify the author’s gender and age",https://link.springer.com/chapter/10.1007/978-981-19-9331-2_11
Google,No,Measuring Gender: A Machine Learning Approach to Social Media Demographics and Author Profiling,"['ER Kovacs', 'LA Cotfas', 'C Delcea']",International Conference on …,2023.0,"is the gender distribution of users. We propose an ensemble of multiple machine learning   an F1 score of 90.24%, then predict the gender of the user based on their name, obtaining an",https://link.springer.com/chapter/10.1007/978-3-031-41456-5_26
Google,No,Artificial Intelligence and Gender-Fair Language in School Books: Pedagogical Insights from Potentialities of Using An Autocorrect in Education.,"['G Persico', 'M Rosola', 'S Frenda']",SCHOLÉ,2024.0,"bodies issued gender-fair language guidelines, that  gender-fair autocorrect in education.  In particular, we argue that the benefit of such a tool is twofold: on the one hand, it produces fair",https://boa.unimib.it/handle/10281/487579
Google,No,A machine learning approach for gender identification of Greek tweet authors,"['S Baxevanakis', 'S Gavras', 'D Mouratidis']",Proceedings of the 13th …,2020.0,a machine learning framework in order to predict the gender of Greek author’s tweets. While   In this paper an ML approach is presented for predicting the gender of Greek tweet authors.,https://dl.acm.org/doi/abs/10.1145/3389189.3397992
Google,No,"Education, Disability, and Juvenile Justice: Recommended Practices. Fourth CCBD Mini-Library Series: Addressing the Diverse Needs of Children and Youth …","['RB Rutherford Jr', 'MM Quinn', 'PE Leone', 'L Garfinkle']",,2002.0,"This monograph examines issues associated with the problems of children and youth with  disabilities in the justice system. Following an introductory chapter, chapter 2 focuses on",https://eric.ed.gov/?id=ED458775
Google,No,Re: Comments on “The Potential of ChatGPT to Transform Healthcare and Address Ethical Challenges in Artificial Intelligence-Driven Medicine”: Author …,"['PP Ray', 'P Majumder']","Journal of Clinical Neurology (Seoul, Korea)",2024.0,"We consider it essential to engage diverse stakeholders, from AI creators to medical experts   on the pivotal ethical and functional aspects required for the optimal use of AI tools such as",https://www.thejcn.com/pdf/10.3988/jcn.2023.0338
Google,Yes,The ethics of classifying the world: From library catalogues to AI,"['C Thornley', 'M Bustillo', 'C Schmidt Supprian']",,2022.0,"bias in Library Classification systems, such as the Dewey Decimal System and the Library  of  to concerns about bias in Artificial Intelligence (AI) systems and the ethical impacts of how",https://esource.dbs.ie/bitstream/handle/10788/4358/Thornley.pdf?sequence=1
Google,No,Novel molecular inhibitor design for Plasmodium falciparum Lactate dehydrogenase enzyme using machine learning generated library of diverse compounds,"['J Kuldeep', 'N Chaturvedi', 'D Gupta']",Molecular Diversity,2024.0,have not integrated both machine learning and structure-based  combines the power of  generative AI with structure-based  unique and diverse virtual compound libraries to identify,https://link.springer.com/article/10.1007/s11030-024-10960-3
Google,Yes,Ethical Recommenders in the Public Library Sector,['S Daniil'],"… of the 2022 AAAI/ACM Conference on AI, Ethics, and …",2022.0,"(Google Books,  the author when publicly available (eg, gender, nationality, age). Concurrently,  I am conducting research on diversity measures that have been used in Recommenders",https://dl.acm.org/doi/abs/10.1145/3514094.3539536
Google,No,A gender identification of text author in mixture of Russian multi-genre texts with distortions on base of data-driven approach using machine learning models,"['A Sboev', 'D Gudovskikh', 'I Moloshnikov']",AIP Conference …,2019.0,gender identification of text author. In this paper we investigate the questions: 1) to what extent  the machine learning  and gender deceptions worsen the results of gender identification.,https://pubs.aip.org/aip/acp/article-abstract/2116/1/270006/759909
Google,Yes,Ethical Considerations and Privacy Concerns in AI-Enabled Libraries,['A Kavak'],Applications of Artificial Intelligence in Libraries,2024.0,"The primary aim of this chapter is to discuss the ethical  artificial intelligence technologies  in libraries may bring.In particular, it addresses how artificial intelligence can be used in library",https://www.igi-global.com/chapter/ethical-considerations-and-privacy-concerns-in-ai-enabled-libraries/346529
Google,No,"… in the development of emotionally competent artificial intelligence, especially regarding the trend towards sex robots? A review of Catrin Misselhorn's most recent book …","['JL Samuel', 'A Schmiljun']",,2023.0,"in combination concerning the topics discussed in this book as well. Shortly afterwards,  Misselhorn  This is not mentioned in the book in-depth, but could pose a problem for emotionally",https://link.springer.com/article/10.1007/s00146-021-01261-6
Google,No,Gender Equality Trends of First Authors in Publications of Artificial Intelligence and Thyroid,"['SD Chalamalasetti', 'S Tamrakar', 'P Doshi', 'NN Vora']",Cureus,2023.0,"This study aims to report information on gender equality among authors in thyroid disorders  related specifically to AI. In our study of 254 articles, 43.3% had females as first authors from",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10593141/
Google,No,Children's Books Featuring Diverse Family Structures and Living Arrangements: Recommendations for Elementary Teachers,['K Waters'],Papers & Publications: Interdisciplinary …,2017.0,"If teachers intentionally incorporate books that reflect the lives of  Through a diverse selection  of books, students have  quality children’s books representing diverse family structures and",https://papersandpubs.ungjournals.org/articles/53
Google,No,Breaking Barriers: Investigating Gender Representation in the First Authors of Cardiovascular Disease and Artificial Intelligence Publications,"['S Sharma', 'AA Anghole', 'SB Pathare', 'MR Nagare']",Cureus,2023.0,"the gender equality ratio of first authors in ""artificial intelligence and  It is critical to investigate  gender representation in this  the gender ratio of first authors in ""artificial intelligence and",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10590122/
Google,No,"A library of AI-assisted FAIR water cycle and related disturbance datasets to enable model training, parameterization and validation","['R Crystal-Ornelas', 'C Varadharajan', 'D Christianson']",,2021.0,"Here we describe how FAIR (Findable, Accessible, Reusable, Interoperable AI can be used  to acquire and integrate water cycle data related to extreme events to create a library of FAIR",https://www.ai4esp.org/files/AI4ESP1030_Crystal-Ornelas_Robert.pdf
Google,No,Research and Application of Multi-level Diverse Intelligent Algorithm Library Based on Artificial Intelligence Computing Platform,"['X Xu', 'J Wang']",IJLAI Transactions on Science and Engineering,2024.0,"library recommendation [28,29]; How to implement object-oriented personalized algorithm  intelligent recommendation, meet diversity  algorithm library that caters to diverse needs.",http://ijlaitse.com/index.php/site/article/view/44
Google,No,Is there any gender/race bias in hep-lat primary publication? Machine-Learning Evaluation of Author Ethnicity and Gender,['HW Lin'],arXiv preprint arXiv:2107.12991,2021.0,"machine learning on author ethnicity, we attempt to study author gender using machine  learning Prior to beginning this phase, we thought machine learning would work well for this",https://arxiv.org/abs/2107.12991
Google,No,"Beyond data: human rights, ethical and social impact assessment in AI: by Alessandro Mantelero, The Hague, The Netherlands, TMC ASSER Press, 2022, 200pp …",['CD Raab'],,2024.0,"recommendations. Indeed, this flaw was dramatically revealed in 2022 (presumably after this  book had gone to press) when most of its Ethics  of Google’s ethics advisory council showed",https://www.tandfonline.com/doi/full/10.1080/13600869.2023.2213104
Google,No,Inclusion of sex and gender instructions to authors and SAGER guidelines recommendations across highest impact oncology journals.,"['MT Bourlon', 'S Jaime', 'E Martinez', 'O Ginsburg']",,2023.0,"authors' material and recorded the frequency with which they referenced SAGER guidelines,  the EQUATOR network, or sex and gender recommendations mentioned sex and gender. Of",https://ascopubs.org/doi/abs/10.1200/OP.2023.19.11_suppl.182
Google,Yes,Promoting AI Literacy in Library Research Guides: Practical and Ethical Considerations,"['D Solomon', 'S Baydoun']",,2024.0,library guides that critically engage with Generative AI tools and promote information literacy  principles. Library  the broader societal implications of AI and gain a deeper understanding,https://commons.case.edu/staffworks/23/
Google,No,Research Library Issues. RLI 299: Ethics of Artificial Intelligence.,['EA Waraksa'],Association of Research Libraries,2019.0,"library community and others in the research and learning ecosystem on the ethical implications  of artificial intelligence (AI of AI in research library operations, to help shape the research",https://eric.ed.gov/?id=ED602477
Google,Yes,Ethics and AI in the Dutch public library sector,['N Bogaards'],,2023.0,"a diverse group of stakeholders was invited to discuss the intersection of ethics, libraries and  AI public libraries plan to proceed to achieve an ethically responsible and safe integration of",http://repository.ifla.org/handle/123456789/2937
Google,No,A Hybrid Book Recommender System Utilizing Diverse-Item Selection Algorithm,['M Balucha'],,,the description of the recommending algorithm and diverse-item  a diverse book selection  process responsible for picking the most diverse combination of books from the recommending,https://is.muni.cz/th/zd8v3/455957_martin_balucha_dp.pdf
Google,Yes,Libraries and Artificial Intelligence: The Power of Enhancing Data Ethics,['MR Korosec'],… on Knowledge and Organization Systems in Library …,2021.0,"In this chapter, the author examines ways in which technologies and libraries are trying to   , the author will examine how to strengthen data ethics in those particular fields of library use",https://www.igi-global.com/chapter/libraries-and-artificial-intelligence/285508
Google,Yes,"Responsible Operations: Data Science, Machine Learning, and AI in Libraries",['R MacGregor'],the american archivist,2020.0,"data science, machine learning, and AI have on libraries.  ethics of machine learning and  AI in libraries and information has global reach and impact in a digital world, where all libraries",https://meridian.allenpress.com/american-archivist/article-abstract/83/2/483/462529
