Database,Title,Authors,Venue,Year,Abstract,Link
Scopus,Content-Aware Few-Shot Meta-Learning for Cold-Start Recommendation on Portable Sensing Devices,Lv X.; Fang K.; Liu T.,Sensors,2024.0,"The cold-start problem in sequence recommendations presents a critical and challenging issue for portable sensing devices. Existing content-aware approaches often struggle to effectively distinguish the relative importance of content features and typically lack generalizability when processing new data. To address these limitations, we propose a content-aware few-shot meta-learning (CFSM) model to enhance the accuracy of cold-start sequence recommendations. Our model incorporates a double-tower network (DT-Net) that learns user and item representations through a meta-encoder and a mutual attention encoder, effectively mitigating the impact of noisy data on auxiliary information. By framing the cold-start problem as few-shot meta-learning, we employ a model-agnostic meta-optimization strategy to train the model across a variety of tasks during the meta-learning phase. Extensive experiments conducted on three real-world datasets—ShortVideos, MovieLens, and Book-Crossing—demonstrate the superiority of our model in cold-start recommendation scenarios. Compared to MetaCs-DNN, the second-best approach, CFSM, achieves improvements of 1.55%, 1.34%, and 2.42% under the AUC metric on the three datasets, respectively. © 2024 by the authors.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203877177&doi=10.3390%2fs24175510&partnerID=40&md5=6f1772cc67e251275b0280596d0a1f24
Scopus,DNNRec: A novel deep learning based hybrid recommender system,R K.; Kumar P.; Bhasker B.,Expert Systems with Applications,2020.0,"We propose a novel deep learning hybrid recommender system to address the gaps in Collaborative Filtering systems and achieve the state-of-the-art predictive accuracy using deep learning. While collaborative filtering systems are popular with many state-of-the-art achievements in recommender systems, they suffer from the cold start problem, when there is no history about the users and items. Further, the latent factors learned by these methods are linear in nature. To address these gaps, we describe a novel hybrid recommender system using deep learning. The solution uses embeddings for representing users and items to learn non-linear latent factors. The solution alleviates the cold start problem by integrating side information about users and items into a very deep neural network. The proposed solution uses a decreasing learning rate in conjunction with increasing weight decay, the values cyclically varied across epochs to further improve accuracy. The proposed solution is benchmarked against existing methods on both predictive accuracy and running time. Predictive Accuracy is measured by Mean Squared Error (MSE), Root Mean Squared Error (RMSE), Mean Absolute Error (MAE) and R-squared. Running time is measured by the mean and standard deviation across seven runs. Comprehensive experiments are conducted on several datasets such as the MovieLens 100 K, FilmTrust, Book-Crossing and MovieLens 1 M. The results show that the proposed technique outperforms existing methods in both non-cold start and cold start cases. The proposed solution framework is generic from the outperformance on four different datasets and can be leveraged for other ratings prediction datasets in recommender systems. © 2019",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074686379&doi=10.1016%2fj.eswa.2019.113054&partnerID=40&md5=b9813359e4319bc71fbe6d1bff39cd9b
Google,DNNRec: A novel deep learning based hybrid recommender system,"['R Kiran', 'P Kumar', 'B Bhasker']",Expert Systems with Applications,2020.0,"of the previous hidden layer) and b H is the bias of the hidden layer. In this case, the   Book-Crossing dataset. This is one of the reasons why the benchmarks reported for Book-Crossing",https://www.sciencedirect.com/science/article/pii/S0957417419307717
Scopus,Entropy for item inclination in sub-community based recommender system,Ahuja H.; Narang S.; Kaur S.; Saxena R.,International Journal of Advanced Technology and Engineering Exploration,2022.0,"To overcome the new user cold-start problems in collaborative filtering, the authors have proposed an innovative framework that used entropy for item inclination in sub-community-based recommender system (EISR). It administered demographic filtering on user and item attributes for finding similar users and applied collaborative filtering on rating preferences. The proposed framework leveraged the advantages of traditional group aggregation strategies for delivering good quality recommendations using item preferences of the members of a refined group detected using two-tier approach. At Tier-I, user communities were detected using demographic attributes, which were decomposed into discernible sub-communities by exploiting the item preferences of users. A novel entropy-based hybrid group aggregation method called pragmatic propensity was used to combine the item preferences of members of these sub-communities. Also, experiments conducted using the Movielens and Book-crossing datasets revealed the better quality of recommendations and the comparison with other algorithms confirmed the effectiveness of the proposed framework. © 2022 Harita Ahuja et al.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137234113&doi=10.19101%2fIJATEE.2021.875768&partnerID=40&md5=c66916aaf2adfa8f5f30a0c7e46530ca
Google,Entropy for item inclination in sub-community based recommender system,"['H Ahuja', 'S Narang', 'S Kaur']",International Journal of …,2022.0,We report assortative coefficient values for the MovieLens and Book-crossing datasets to  support our hypothesis of like-minded users belonging to the same communities. Assortative,https://search.proquest.com/openview/0e727eabef88227cc57331e9ac3f8b33/1?pq-origsite=gscholar&cbl=2037694
Scopus,Explaining recommender systems fairness and accuracy through the lens of data characteristics,Deldjoo Y.; Bellogin A.; Di Noia T.,Information Processing and Management,2021.0,"The impact of data characteristics on the performance of classical recommender systems has been recently investigated and produced fruitful results about the relationship they have with recommendation accuracy. This work provides a systematic study on the impact of broadly chosen data characteristics (DCs) of recommender systems. This is applied to the accuracy and fairness of several variations of CF recommendation models. We focus on a suite of DCs that capture properties about the structure of the user–item interaction matrix, the rating frequency, item properties, or the distribution of rating values. Experimental validation of the proposed system involved large-scale experiments by performing 23,400 recommendation simulations on three real-world datasets in the movie (ML-100K and ML-1M) and book domains (BookCrossing). The validation results show that the investigated DCs in some cases can have up to 90% of explanatory power – on several variations of classical CF algorithms –, while they can explain – in the best case – about 40% of fairness results (measured according to user gender and age sensitive attributes). Therefore, this work evidences that it is more difficult to explain variations in performance when dealing with fairness dimension than accuracy. © 2021 The Authors",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112045360&doi=10.1016%2fj.ipm.2021.102662&partnerID=40&md5=79c0c9fbb5b164a2a9a0b8719e2d25d5
Google,Explaining recommender systems fairness and accuracy through the lens of data characteristics,"['Y Deldjoo', 'A Bellogin', 'T Di Noia']",Information processing & management,2021.0,"A general formulation over popularity bias assessment is  As for the BookCrossing dataset,  we noticed it has a number  30% of the interactions in BookCrossing to serve as the original",https://www.sciencedirect.com/science/article/pii/S0306457321001503
Scopus,Exploring author gender in book rating and recommendation,Ekstrand M.D.; Kluver D.,User Modeling and User-Adapted Interaction,2021.0,"Collaborative filtering algorithms find useful patterns in rating and consumption data and exploit these patterns to guide users to good items. Many of these patterns reflect important real-world phenomena driving interactions between the various users and items; other patterns may be irrelevant or reflect undesired discrimination, such as discrimination in publishing or purchasing against authors who are women or ethnic minorities. In this work, we examine the response of collaborative filtering recommender algorithms to the distribution of their input data with respect to one dimension of social concern, namely content creator gender. Using publicly available book ratings data, we measure the distribution of the genders of the authors of books in user rating profiles and recommendation lists produced from this data. We find that common collaborative filtering algorithms tend to propagate at least some of each user’s tendency to rate or read male or female authors into their resulting recommendations, although they differ in both the strength of this propagation and the variance in the gender balance of the recommendation lists they produce. The data, experimental design, and statistical methods are designed to be reusable for studying potentially discriminatory social dimensions of recommendations in other domains and settings as well. © 2021, Springer Nature B.V.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100480096&doi=10.1007%2fs11257-020-09284-2&partnerID=40&md5=7991afa561912376badc656d08226e18
Google,Exploring author gender in book rating and recommendation,"['MD Ekstrand', 'M Tian', 'MRI Kazi']",… on recommender …,2018.0,"on work in both recommender systems and in bias and fairness in  BookCrossing, we  perform these variants with separate user samples: explicit data sampled from the BookCrossing",https://dl.acm.org/doi/abs/10.1145/3240323.3240373
Google,MDSAA,['EN Moralejo'],,,to identify the most accurate recommender system based on user  is provided by the  GoodReads website which collects data not  This bias is problematic as an item that the user,https://run.unl.pt/bitstream/10362/163667/1/TCDMAA2431.pdf
Google,MDSAA,['TAV Faria'],,,"For example, if we consider a recommender system that  This means that if a system is prone  to popularity bias, measuring  sales, using a subset of Amazon's Goodreads dataset. As the",https://run.unl.pt/bitstream/10362/148601/1/TCDMAA1264.pdf
Scopus,Multi-view fusion for recommendation with attentive deep neural network,Jing W.; Sangaiah A.K.; Wei L.; Shaopeng L.; Lei L.; Ruishi L.,Evolutionary Intelligence,2022.0,"Recommendation systems have been widely developed and introduced in numerous applications. However, due to the lack of sufficient user feedback data, the recommendation performance of such systems is often affected by data sparsity. To address this problem, a multi-view fusion recommendation algorithm with an attentive deep neural network is proposed. A two-stage joint learning solution is designed in the proposed model, which combines user attributes, item attributes, and user-item interaction information into a unified framework. The convolutional neural network and attention mechanism are applied to improve effect of extracting features from user and item attributes. The extended deep neural network model based on matrix factorization and multiple-layer perception is used to enhance the feature extraction of user and item interaction information. Experimental results on the MovieLens-1 M and Book-Crossing real datasets show that the proposed algorithm can achieve the best recommendation accuracy compared with other classical recommendation algorithms, even with extremely sparse data. © 2021, The Author(s), under exclusive licence to Springer-Verlag GmbH Germany, part of Springer Nature.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107781275&doi=10.1007%2fs12065-021-00626-6&partnerID=40&md5=ca66b06d3b0040a51bb04af4fe9169e9
Google,Multi-view fusion for recommendation with attentive deep neural network,"['W Jing', 'AK Sangaiah', 'L Wei', 'L Shaopeng', 'L Lei']",Evolutionary …,2022.0,"MovieLens-1 M and Book-Crossing real datasets show that the  for improving the performance  of recommender systems. In fact,  Suppose that the user bias is b u and the item bias is b i .",https://link.springer.com/article/10.1007/s12065-021-00626-6
Scopus,On unexpectedness in recommender systems: Or how to better expect the unexpected,Adamopoulos P.; Tuzhilin A.,ACM Transactions on Intelligent Systems and Technology,2014.0,"Although the broad social and business success of recommender systems has been achieved across several domains, there is still a long way to go in terms of user satisfaction. One of the key dimensions for significant improvement is the concept of unexpectedness. In this article, we propose a method to improve user satisfaction by generating unexpected recommendations based on the utility theory of economics. In particular, we propose a new concept of unexpectedness as recommending to users those items that depart from what they would expect from the system - the consideration set of each user. We define and formalize the concept of unexpectedness and discuss how it differs from the related notions of novelty, serendipity, and diversity. In addition, we suggest several mechanisms for specifying the users' expectations and propose specific performance metrics to measure the unexpectedness of recommendation lists. We also take into consideration the quality of recommendations using certain utility functions and present an algorithm for providing users with unexpected recommendations of high quality that are hard to discover but fairly match their interests. Finally, we conduct several experiments on ""real-world"" datasets and compare our recommendation results with other methods. The proposed approach outperforms these baseline methods in terms of unexpectedness and other important metrics, such as coverage, aggregate diversity and dispersion, while avoiding any accuracy loss. © 2014 ACM.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84919756227&doi=10.1145%2f2559952&partnerID=40&md5=0ba76d5a0daed820556dd9207157f8fd
Google,On unexpectedness in recommender systems: Or how to better expect the unexpected,"['P Adamopoulos', 'A Tuzhilin']",ACM Transactions on Intelligent Systems …,2014.0,"Since some books on BookCrossing refer to rare, non-English books or outdated titles  not in  problems of overspecialization and concentration bias, which often characterize CF",https://dl.acm.org/doi/abs/10.1145/2559952
Scopus,Optimizing Neighborhoods for Fair Top-N Recommendation,Eleftherakis S.; Koutrika G.; Amer-Yahia S.,"UMAP 2024 - Proceedings of the 32nd ACM Conference on User Modeling, Adaptation and Personalization",2024.0,"We address demographic bias in neighborhood-learning models for collaborative filtering recommendations. Despite their superior ranking performance, these methods can learn neighborhoods that inadvertently foster discriminatory patterns. Little work exists in this area, highlighting an important research gap. A notable yet solitary effort, Balanced Neighborhood Sparse LInear Method (BNSLIM) aims at balancing neighborhood influence across different demographic groups. Yet, BNSLIM is hampered by computational inefficiency, and its rigid balancing approach often impacts accuracy. In that vein, we introduce two novel algorithms. The first, an enhancement of BNSLIM, incorporates the Alternating Direction Method of Multipliers (ADMM) to optimize all similarities concurrently, greatly reducing training time. The second, Fairly Sparse Linear Regression (FSLR), induces controlled sparsity in neighborhoods to reveal correlations among different demographic groups, achieving comparable efficiency while being more accurate. Their performance is evaluated using standard exposure metrics alongside a new metric for user coverage disparities. Our experiments cover various applications, including a novel exploration of bias in course recommendations by teachers' country development status. Our results show the effectiveness of our algorithms in imposing fairness compared to BNSLIM and other well-known fairness approaches. © 2024 Owner/Author.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197917749&doi=10.1145%2f3627043.3659539&partnerID=40&md5=62e4f5285c3b2f409c483db750c28671
Google,Optimizing Neighborhoods for Fair Top-N Recommendation,"['S Eleftherakis', 'G Koutrika', 'S Amer-Yahia']",Proceedings of the 32nd ACM …,2024.0,"We address demographic bias in neighborhood-learning models  of the Goodreads dataset  [44], a genre where users exhibit bias  for provider fairness in recommender systems. User",https://dl.acm.org/doi/abs/10.1145/3627043.3659539
Google,Pyrorank: A Novel Nature-Inspired Algorithm to Promote Diversity in Recommender Systems,"['D Kilitcioglu', 'N Greenquist', 'A Bari']",International Conference on Swarm …,2023.0,"We explain why diversity is essential in recommender  the systemic bias that traditional  recommender system models  for the Goodbooks-10k, MovieLens-20M, and Goodreads-105M",https://link.springer.com/chapter/10.1007/978-3-031-36625-3_12?c=ricarthlima?c=ricarthlima
Scopus,Pyrorank: A Novel Nature-Inspired Algorithm to Promote Diversity in Recommender Systems,Kilitcioglu D.; Greenquist N.; Bari A.,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),2023.0,"Recommender systems are essential to many of the largest internet companies’ core products. Today's online users expect sites offering a vast assortment of products to provide personalized recommendations. Although traditional recommender systems optimize for prediction accuracy, such as RMSE, they often fail to address other important aspects of recommendation quality. In this paper, we explore the crucial issue of diversity in the recommendations generated by recommender systems. We explain why diversity is essential in recommender systems and review related work on diversifying recommendations. We quantify and classify various diversity metrics into logical categories. Then, we introduce Pyrorank, a novel bio-inspired re-ranking algorithm designed to improve recommendation diversity. Pyrorank is inspired by the positive effects of pyrodiversity in nature and is optimized to increase user-based diversity and mitigate the systemic bias that traditional recommender system models learn from the data. Our experimental results on multiple large datasets indicate that Pyrorank can achieve better user-based diversity metrics than state-of-the-art re-ranking methods, with little decrease in prediction accuracy. © 2023, The Author(s), under exclusive license to Springer Nature Switzerland AG.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169434065&doi=10.1007%2f978-3-031-36625-3_12&partnerID=40&md5=83cb133f9d435c6d2bbbe3fb7877e953
Google,Recommendation System Based on Double Ensemble Models using KNN-MF,"['KK Yadav', 'HK Soni', 'N Pathik']",International Journal of …,2023.0,of the literature on bias and fairness in recommendation  generalisation when developing  the Recommender System. We  Table II represents the evaluation result of the BookCrossing,https://ftp.saiconference.com/Downloads/Volume14No5/Paper_66-Recommendation_System_Based_on_Double_Ensemble.pdf
Scopus,Recommendation System Based on Double Ensemble Models using KNN-MF,Yadav K.K.; Soni H.K.; Pathik N.,International Journal of Advanced Computer Science and Applications,2023.0,"In today's digital environment, recommendation systems are essential as they provide personalised content to users, increasing user engagement and enhancing user satisfaction. This paper proposes a double ensemble recommendation model that combines two collaborative filtering algorithms, K Nearest Neighbour (KNN) and Matrix Factorization (MF). KNN is a neighbourhood-based algorithm that uses the similarity between users or items to make recommendations. At the same time, MF is a model-based algorithm that decomposes the user-item rating matrix into lower-dimensional matrices representing the latent user and item factors. The proposed double ensemble model uses KNN and MF to predict missing ratings matrix and combines their predictions using stacking. To evaluate the performance of the proposed ensemble model, we conducted experiments on three datasets i.e. Movielense, BookCrossing dataset and Hindi Movie dataset and compared the results with those of single algorithm approaches. The experimental results demonstrate that the double ensemble model outperforms the single algorithm approaches regarding accuracy metrics such as Mean Square Error (MSE), Root Mean Squared Error (RMSE), Mean Absolute Error (MAE). The results indicate that stacked KNN and MF lead to a more robust and more accurate recommendation system. © (2023), All Rights Reserved.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161278126&doi=10.14569%2fIJACSA.2023.0140566&partnerID=40&md5=a25b72ccd49c22dcd8300303aa15ad70
Google,SQUIRREL: A framework for sequential group recommendations through reinforcement learning,"['M Stratigi', 'E Pitoura', 'K Stefanidis']",Information Systems,2023.0,"popularity in an effort to minimize bias and promote diversity.  As in a typical group  recommender, we apply a  Due to the difference in the distribution of ratings in the GoodReads",https://www.sciencedirect.com/science/article/pii/S0306437922001065
Scopus,SQUIRREL: A framework for sequential group recommendations through reinforcement learning,Stratigi M.; Pitoura E.; Stefanidis K.,Information Systems,2023.0,"Nowadays, sequential recommendations are becoming more prevalent. A user expects the system to remember past interactions and not conduct each recommendation round as a stand-alone process. Additionally, group recommendation systems are more prominent since more and more people are able to form groups for activities. Subsequently, the data that a group recommendation system needs to consider becomes more complicated — historical data and feedback for each user, the items recommended and ultimately selected to and by the group, etc. This makes the selection of a group recommendation algorithm to be even more complex. In this work, we propose the SQUIRREL framework — SeQUentIal Recommendations with ReinforcEment Learning, a model that relies on reinforcement learning techniques to select the most appropriate group recommendation algorithm based on the current state of the group. At each round of recommendations, we calculate the satisfaction of each group member, how relevant each item in the group recommendation list is for each user, and based on this the model selects an action, that is, a recommendation algorithm out of a predefined set that will produce the maximum reward. We present a sample of methods that can be used; however, the model is able to be further configured with additional actions, different definitions of rewards or states. We perform experiments on three real world datasets, 20M MovieLens, GoodReads and Amazon, and show that SQUIRREL is able to outperform all the individual recommendation methods used in the action set, by correctly identifying the recommendation algorithm that maximizes the reward function utilized. © 2022 The Author(s)",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140884417&doi=10.1016%2fj.is.2022.102128&partnerID=40&md5=393965d9e3d4638127f82b83509f87b2
Google,Threshold based KNN for fast and more accurate recommendations,"['J Javia', 'S Mehta']",,,,missing
Google,Threshold based KNN for fast and more accurate recommendations,"['SJ Mehta', 'J Javia']",2015 IEEE 2nd International Conference on …,2015.0,"Recommender systems support users in personalized way  Recommender system is an  information filtering technology,  The Book-Crossing dataset available on Group lens is used.",https://ieeexplore.ieee.org/abstract/document/7232862/
Google,Topic-Level Bayesian Surprise and Serendipity for Recommender Systems,"['T Hasan', 'R Bunescu']",… of the 17th ACM Conference on Recommender …,2023.0,"A recommender system that optimizes its recommendations  reading histories extracted from  Goodreads, containing over  While this may lead to selection bias, it was done to minimize",https://dl.acm.org/doi/abs/10.1145/3604915.3608851
Scopus,Topic-Level Bayesian Surprise and Serendipity for Recommender Systems,Hasan T.; Bunescu R.,"Proceedings  of the 17th ACM Conference on Recommender Systems, RecSys 2023",2023.0,"A recommender system that optimizes its recommendations solely to fit a user's history of ratings for consumed items can create a filter bubble, wherein the user does not get to experience items from novel, unseen categories. One approach to mitigate this undesired behavior is to recommend items with high potential for serendipity, namely surprising items that are likely to be highly rated. In this paper, we propose a content-based formulation of serendipity that is rooted in Bayesian surprise and use it to measure the serendipity of items after they are consumed and rated by the user. When coupled with a collaborative-filtering component that identifies similar users, this enables recommending items with high potential for serendipity. To facilitate the evaluation of topic-level models for surprise and serendipity, we introduce a dataset of book reading histories extracted from Goodreads, containing over 26 thousand users and close to 1.3 million books, where we manually annotate 449 books read by 4 users in terms of their time-dependent, topic-level surprise. Experimental evaluations show that models that use Bayesian surprise correlate much better with the manual annotations of topic-level surprise than distance-based heuristics, and also obtain better serendipitous item recommendation performance. © 2023 ACM.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174509977&doi=10.1145%2f3604915.3608851&partnerID=40&md5=4fc04eb2bf9ee72321bef12186209685
